"ONTOLOGY","GOID","Description","GeneRatio","BgRatio","pvalue","padj","qvalue","geneID","Gene_symbol","Count"
"BP","GO:0032102","negative regulation of response to external stimulus","10/35","452/18860",6.07757424670652e-09,9.94898904185857e-06,5.77689425765893e-06,"240/383/1803/5045/2950/4057/1432/5292/5580/6095","ALOX5/ARG1/DPP4/FURIN/GSTP1/LTF/MAPK14/PIM1/PRKCD/RORA",10
"BP","GO:0006631","fatty acid metabolic process","9/35","421/18860",5.33440426578005e-08,3.51176583785772e-05,2.03911169442531e-05,"2181/2182/231/240/3992/2194/2950/3553/1432","ACSL3/ACSL4/AKR1B1/ALOX5/FADS1/FASN/GSTP1/IL1B/MAPK14",9
"BP","GO:0031348","negative regulation of defense response","8/35","313/18860",8.38848667379288e-08,3.51176583785772e-05,2.03911169442531e-05,"240/383/5045/2950/1432/5292/5580/6095","ALOX5/ARG1/FURIN/GSTP1/MAPK14/PIM1/PRKCD/RORA",8
"BP","GO:0033559","unsaturated fatty acid metabolic process","6/35","121/18860",8.58097944497915e-08,3.51176583785772e-05,2.03911169442531e-05,"2182/231/240/3992/2950/3553","ACSL4/AKR1B1/ALOX5/FADS1/GSTP1/IL1B",6
"BP","GO:0050727","regulation of inflammatory response","9/35","460/18860",1.13552917523641e-07,3.71772251972399e-05,2.15870072681784e-05,"240/5045/2950/3553/3957/1432/4792/5580/6095","ALOX5/FURIN/GSTP1/IL1B/LGALS2/MAPK14/NFKBIA/PRKCD/RORA",9
"BP","GO:0071222","cellular response to lipopolysaccharide","7/35","229/18860",1.78755023336222e-07,4.87703288668993e-05,2.83185589601068e-05,"2950/3553/3934/4057/23643/1432/4792","GSTP1/IL1B/LCN2/LTF/LY96/MAPK14/NFKBIA",7
"BP","GO:0071219","cellular response to molecule of bacterial origin","7/35","247/18860",2.98551253462239e-07,6.9818343131098e-05,4.05401175753988e-05,"2950/3553/3934/4057/23643/1432/4792","GSTP1/IL1B/LCN2/LTF/LY96/MAPK14/NFKBIA",7
"BP","GO:0071216","cellular response to biotic stimulus","7/35","274/18860",6.0082349273437e-07,0.000112740689496257,6.54630374016141e-05,"2950/3553/3934/4057/23643/1432/4792","GSTP1/IL1B/LCN2/LTF/LY96/MAPK14/NFKBIA",7
"BP","GO:0120254","olefinic compound metabolic process","6/35","169/18860",6.19832746161462e-07,0.000112740689496257,6.54630374016141e-05,"2182/231/216/240/3992/2950","ACSL4/AKR1B1/ALDH1A1/ALOX5/FADS1/GSTP1",6
"BP","GO:0042759","long-chain fatty acid biosynthetic process","4/35","40/18860",8.65980824683745e-07,0.000137846519528323,8.0040772358985e-05,"2182/240/3992/2950","ACSL4/ALOX5/FADS1/GSTP1",4
"BP","GO:0006633","fatty acid biosynthetic process","6/35","181/18860",9.26274718883049e-07,0.000137846519528323,8.0040772358985e-05,"2182/240/3992/2194/2950/3553","ACSL4/ALOX5/FADS1/FASN/GSTP1/IL1B",6
"BP","GO:0001676","long-chain fatty acid metabolic process","5/35","110/18860",1.73908565157839e-06,0.000237240267636152,0.000137753889769762,"2181/2182/240/3992/2950","ACSL3/ACSL4/ALOX5/FADS1/GSTP1",5
"BP","GO:0050728","negative regulation of inflammatory response","6/35","210/18860",2.19977326891158e-06,0.000277002218554481,0.000160841721605438,"240/5045/2950/1432/5580/6095","ALOX5/FURIN/GSTP1/MAPK14/PRKCD/RORA",6
"BP","GO:0046394","carboxylic acid biosynthetic process","7/35","339/18860",2.48528330388819e-06,0.000284810164330064,0.000165375416127092,"2182/216/240/3992/2194/2950/3553","ACSL4/ALDH1A1/ALOX5/FADS1/FASN/GSTP1/IL1B",7
"BP","GO:0016053","organic acid biosynthetic process","7/35","342/18860",2.63445724073171e-06,0.000284810164330064,0.000165375416127092,"2182/216/240/3992/2194/2950/3553","ACSL4/ALDH1A1/ALOX5/FADS1/FASN/GSTP1/IL1B",7
"BP","GO:0046822","regulation of nucleocytoplasmic transport","5/35","121/18860",2.7837279348082e-06,0.000284810164330064,0.000165375416127092,"3553/1432/4792/5501/5580","IL1B/MAPK14/NFKBIA/PPP1CC/PRKCD",5
"BP","GO:0032496","response to lipopolysaccharide","7/35","350/18860",3.06934009359865e-06,0.000295559396071823,0.000171616972416073,"2950/3553/3934/4057/23643/1432/4792","GSTP1/IL1B/LCN2/LTF/LY96/MAPK14/NFKBIA",7
"BP","GO:0006690","icosanoid metabolic process","5/35","128/18860",3.67049451172705e-06,0.000333811084205399,0.000193827868075411,"231/240/3992/2950/3553","AKR1B1/ALOX5/FADS1/GSTP1/IL1B",5
"BP","GO:0072330","monocarboxylic acid biosynthetic process","6/35","237/18860",4.42197044713741e-06,0.000380987664313892,0.000221221014613024,"2182/240/3992/2194/2950/3553","ACSL4/ALOX5/FADS1/FASN/GSTP1/IL1B",6
"BP","GO:0002237","response to molecule of bacterial origin","7/35","375/18860",4.83392106908717e-06,0.000395656439504785,0.000229738459230827,"2950/3553/3934/4057/23643/1432/4792","GSTP1/IL1B/LCN2/LTF/LY96/MAPK14/NFKBIA",7
"BP","GO:1901570","fatty acid derivative biosynthetic process","4/35","62/18860",5.13517331527349e-06,0.0004002989865287,0.000232434160586063,"2181/2182/240/2194","ACSL3/ACSL4/ALOX5/FASN",4
"BP","GO:0031663","lipopolysaccharide-mediated signaling pathway","4/35","64/18860",5.8335104736795e-06,0.000434066211155152,0.000252041146302995,"4057/23643/1432/4792","LTF/LY96/MAPK14/NFKBIA",4
"BP","GO:2000377","regulation of reactive oxygen species metabolic process","5/35","150/18860",7.97132100507511e-06,0.000567350108056868,0.000329432625518665,"240/2950/3934/1432/5580","ALOX5/GSTP1/LCN2/MAPK14/PRKCD",5
"BP","GO:2000379","positive regulation of reactive oxygen species metabolic process","4/35","71/18860",8.83902162879824e-06,0.000602894933597613,0.000350071777666878,"2950/3934/1432/5580","GSTP1/LCN2/MAPK14/PRKCD",4
"BP","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","3/35","23/18860",1.01080198759941e-05,0.000661873141480093,0.000384317555706217,"9377/1349/1350","COX5A/COX7B/COX7C",3
"BP","GO:0051223","regulation of protein transport","7/35","458/18860",1.77514832603489e-05,0.00111766069604582,0.000648971230125307,"2181/2182/240/3553/1432/4792/5580","ACSL3/ACSL4/ALOX5/IL1B/MAPK14/NFKBIA/PRKCD",7
"BP","GO:0046949","fatty-acyl-CoA biosynthetic process","3/35","28/18860",1.85792663502755e-05,0.00112645403760745,0.000654077096074028,"2181/2182/2194","ACSL3/ACSL4/FASN",3
"BP","GO:0043604","amide biosynthetic process","5/35","185/18860",2.19949695614933e-05,0.00128592018472016,0.000746671335113851,"2181/2182/383/2194/5580","ACSL3/ACSL4/ARG1/FASN/PRKCD",5
"BP","GO:1901568","fatty acid derivative metabolic process","4/35","91/18860",2.36823651380757e-05,0.00133682868038034,0.000776231423581936,"2181/2182/240/2194","ACSL3/ACSL4/ALOX5/FASN",4
"BP","GO:0071347","cellular response to interleukin-1","4/35","95/18860",2.80612370262195e-05,0.00153120816706405,0.000889098141567588,"3553/3934/4792/6095","IL1B/LCN2/NFKBIA/RORA",4
"BP","GO:0071214","cellular response to abiotic stimulus","6/35","355/18860",4.3631624345172e-05,0.00223203028290771,0.00129603147314771,"231/3553/3934/1432/4609/5580","AKR1B1/IL1B/LCN2/MAPK14/MYC/PRKCD",6
"BP","GO:0104004","cellular response to environmental stimulus","6/35","355/18860",4.3631624345172e-05,0.00223203028290771,0.00129603147314771,"231/3553/3934/1432/4609/5580","AKR1B1/IL1B/LCN2/MAPK14/MYC/PRKCD",6
"BP","GO:0042742","defense response to bacterium","6/35","361/18860",4.78987466570484e-05,0.00237606812962389,0.00137966724820781,"26253/3553/3934/4057/5292/5580","CLEC4E/IL1B/LCN2/LTF/PIM1/PRKCD",6
"BP","GO:0002526","acute inflammatory response","4/35","112/18860",5.35352026005838e-05,0.00257756254873987,0.00149666526155812,"2950/3553/3934/5265","GSTP1/IL1B/LCN2/SERPINA1",4
"BP","GO:0071356","cellular response to tumor necrosis factor","5/35","226/18860",5.72369450912571e-05,0.00267705368898251,0.00155443492984677,"2950/3934/1432/4792/6095","GSTP1/LCN2/MAPK14/NFKBIA/RORA",5
"BP","GO:0043903","regulation of biological process involved in symbiotic interaction","3/35","42/18860",6.3957835957233e-05,0.00290830492949973,0.00168871128273045,"383/5045/4057","ARG1/FURIN/LTF",3
"BP","GO:0044272","sulfur compound biosynthetic process","4/35","119/18860",6.78197862609722e-05,0.00300056730024896,0.00174228355600734,"2181/2182/2194/2950","ACSL3/ACSL4/FASN/GSTP1",4
"BP","GO:0072593","reactive oxygen species metabolic process","5/35","237/18860",7.16857722640352e-05,0.00308814761042699,0.00179313718433307,"240/2950/3934/1432/5580","ALOX5/GSTP1/LCN2/MAPK14/PRKCD",5
"BP","GO:0030501","positive regulation of bone mineralization","3/35","44/18860",7.35981246366377e-05,0.00308923410333784,0.00179376805794558,"154/240/4057","ADRB2/ALOX5/LTF",3
"BP","GO:0070555","response to interleukin-1","4/35","123/18860",7.71315547512215e-05,0.00314443544057351,0.00182582079081624,"3553/3934/4792/6095","IL1B/LCN2/NFKBIA/RORA",4
"BP","GO:0035337","fatty-acyl-CoA metabolic process","3/35","45/18860",7.87549499471678e-05,0.00314443544057351,0.00182582079081624,"2181/2182/2194","ACSL3/ACSL4/FASN",3
"BP","GO:0034612","response to tumor necrosis factor","5/35","244/18860",8.22496025190334e-05,0.0032057761743728,0.00186143837279918,"2950/3934/1432/4792/6095","GSTP1/LCN2/MAPK14/NFKBIA/RORA",5
"BP","GO:0006953","acute-phase response","3/35","47/18860",8.97652546456485e-05,0.0033499406771408,0.00194514769087107,"3553/3934/5265","IL1B/LCN2/SERPINA1",3
"BP","GO:0030278","regulation of ossification","4/35","128/18860",9.00411666427583e-05,0.0033499406771408,0.00194514769087107,"154/240/4057/1432","ADRB2/ALOX5/LTF/MAPK14",4
"BP","GO:0002573","myeloid leukocyte differentiation","5/35","257/18860",0.000105017199816845,0.00379334581877706,0.00220261150008403,"2194/2739/4057/1432/4609","FASN/GLO1/LTF/MAPK14/MYC",5
"BP","GO:0006693","prostaglandin metabolic process","3/35","50/18860",0.000108091450287298,0.00379334581877706,0.00220261150008403,"231/2950/3553","AKR1B1/GSTP1/IL1B",3
"BP","GO:0045444","fat cell differentiation","5/35","259/18860",0.000108910967307588,0.00379334581877706,0.00220261150008403,"154/240/1432/5292/6095","ADRB2/ALOX5/MAPK14/PIM1/RORA",5
"BP","GO:0051222","positive regulation of protein transport","5/35","263/18860",0.000117031132957528,0.00397512143568535,0.00230815976363944,"2181/2182/3553/1432/5580","ACSL3/ACSL4/IL1B/MAPK14/PRKCD",5
"BP","GO:0006692","prostanoid metabolic process","3/35","52/18860",0.000121569223036402,0.00397512143568535,0.00230815976363944,"231/2950/3553","AKR1B1/GSTP1/IL1B",3
"BP","GO:0051403","stress-activated MAPK cascade","3/35","52/18860",0.000121569223036402,0.00397512143568535,0.00230815976363944,"2950/1432/4609","GSTP1/MAPK14/MYC",3
"BP","GO:0035384","thioester biosynthetic process","3/35","53/18860",0.00012869971661046,0.00397512143568535,0.00230815976363944,"2181/2182/2194","ACSL3/ACSL4/FASN",3
"BP","GO:0050873","brown fat cell differentiation","3/35","53/18860",0.00012869971661046,0.00397512143568535,0.00230815976363944,"154/1432/5292","ADRB2/MAPK14/PIM1",3
"BP","GO:0071616","acyl-CoA biosynthetic process","3/35","53/18860",0.00012869971661046,0.00397512143568535,0.00230815976363944,"2181/2182/2194","ACSL3/ACSL4/FASN",3
"BP","GO:0070169","positive regulation of biomineral tissue development","3/35","54/18860",0.000136097229106545,0.00412576229717434,0.00239562958836667,"154/240/4057","ADRB2/ALOX5/LTF",3
"BP","GO:0070303","negative regulation of stress-activated protein kinase signaling cascade","2/35","10/18860",0.000149157480858094,0.00428021071258257,0.00248531027454719,"2950/4609","GSTP1/MYC",2
"BP","GO:0006790","sulfur compound metabolic process","5/35","277/18860",0.000149171830921597,0.00428021071258257,0.00248531027454719,"2181/2182/2194/2739/2950","ACSL3/ACSL4/FASN/GLO1/GSTP1",5
"BP","GO:0031098","stress-activated protein kinase signaling cascade","3/35","56/18860",0.000151711002469962,0.00428021071258257,0.00248531027454719,"2950/1432/4609","GSTP1/MAPK14/MYC",3
"BP","GO:0045778","positive regulation of ossification","3/35","56/18860",0.000151711002469962,0.00428021071258257,0.00248531027454719,"154/240/4057","ADRB2/ALOX5/LTF",3
"BP","GO:0032386","regulation of intracellular transport","5/35","279/18860",0.000154265383043599,0.00428021071258257,0.00248531027454719,"3553/1432/4792/5501/5580","IL1B/MAPK14/NFKBIA/PPP1CC/PRKCD",5
"BP","GO:0045598","regulation of fat cell differentiation","4/35","148/18860",0.000157773515639926,0.00430458741837599,0.0024994646425062,"240/1432/5292/6095","ALOX5/MAPK14/PIM1/RORA",4
"BP","GO:0033157","regulation of intracellular protein transport","4/35","152/18860",0.000174803494497744,0.00469103804086568,0.00272385773134534,"3553/1432/4792/5580","IL1B/MAPK14/NFKBIA/PRKCD",4
"BP","GO:0006869","lipid transport","6/35","461/18860",0.000183548166577579,0.00481944098390271,0.0027984150779437,"2181/2182/5045/3553/4792/10280","ACSL3/ACSL4/FURIN/IL1B/NFKBIA/SIGMAR1",6
"BP","GO:0006636","unsaturated fatty acid biosynthetic process","3/35","60/18860",0.000186335986364605,0.00481944098390271,0.0027984150779437,"2182/3992/3553","ACSL4/FADS1/IL1B",3
"BP","GO:0032368","regulation of lipid transport","4/35","155/18860",0.00018842041720817,0.00481944098390271,0.0027984150779437,"2182/5045/3553/4792","ACSL4/FURIN/IL1B/NFKBIA",4
"BP","GO:0002833","positive regulation of response to biotic stimulus","6/35","465/18860",0.000192342629422965,0.00484407514408298,0.00281271893714879,"383/26253/4057/23643/1432/4792","ARG1/CLEC4E/LTF/LY96/MAPK14/NFKBIA",6
"BP","GO:0042306","regulation of protein import into nucleus","3/35","62/18860",0.000205416272398414,0.0050949460290334,0.00295838746372836,"1432/4792/5580","MAPK14/NFKBIA/PRKCD",3
"BP","GO:0006935","chemotaxis","6/35","474/18860",0.000213353523109847,0.00510417468224989,0.00296374609399199,"240/1803/2950/3553/1432/5580","ALOX5/DPP4/GSTP1/IL1B/MAPK14/PRKCD",6
"BP","GO:0046456","icosanoid biosynthetic process","3/35","63/18860",0.000215413280339137,0.00510417468224989,0.00296374609399199,"240/3992/3553","ALOX5/FADS1/IL1B",3
"BP","GO:0046824","positive regulation of nucleocytoplasmic transport","3/35","63/18860",0.000215413280339137,0.00510417468224989,0.00296374609399199,"3553/1432/5580","IL1B/MAPK14/PRKCD",3
"BP","GO:0042330","taxis","6/35","476/18860",0.000218260371262976,0.00510417468224989,0.00296374609399199,"240/1803/2950/3553/1432/5580","ALOX5/DPP4/GSTP1/IL1B/MAPK14/PRKCD",6
"BP","GO:0030099","myeloid cell differentiation","6/35","481/18860",0.000230919111468607,0.00529541049430776,0.00307478743295496,"2194/2739/4057/1432/4609/4792","FASN/GLO1/LTF/MAPK14/MYC/NFKBIA",6
"BP","GO:0010876","lipid localization","6/35","483/18860",0.000236142312818855,0.00529541049430776,0.00307478743295496,"2181/2182/5045/3553/4792/10280","ACSL3/ACSL4/FURIN/IL1B/NFKBIA/SIGMAR1",6
"BP","GO:0022411","cellular component disassembly","6/35","483/18860",0.000236142312818855,0.00529541049430776,0.00307478743295496,"154/1803/5045/3553/4609/7153","ADRB2/DPP4/FURIN/IL1B/MYC/TOP2A",6
"BP","GO:0032306","regulation of prostaglandin secretion","2/35","13/18860",0.000257636706238793,0.00562335050817205,0.00326520625591059,"2182/3553","ACSL4/IL1B",2
"BP","GO:1901503","ether biosynthetic process","2/35","13/18860",0.000257636706238793,0.00562335050817205,0.00326520625591059,"240/2194","ALOX5/FASN",2
"BP","GO:0050832","defense response to fungus","3/35","68/18860",0.000270134516516306,0.0058185553096999,0.00337855219410283,"383/26253/4057","ARG1/CLEC4E/LTF",3
"BP","GO:0002221","pattern recognition receptor signaling pathway","5/35","325/18860",0.000312854900491293,0.00665121392343177,0.00386203657065806,"26253/4057/23643/1432/4792","CLEC4E/LTF/LY96/MAPK14/NFKBIA",5
"BP","GO:0034142","toll-like receptor 4 signaling pathway","3/35","72/18860",0.000319841921106981,0.00671257980579651,0.00389766875519034,"4057/23643/4792","LTF/LY96/NFKBIA",3
"BP","GO:0060326","cell chemotaxis","5/35","330/18860",0.000335594234062256,0.00695402229316345,0.00403786266966312,"240/1803/2950/3553/5580","ALOX5/DPP4/GSTP1/IL1B/PRKCD",5
"BP","GO:0043122","regulation of canonical NF-kappaB signal transduction","5/35","332/18860",0.000345033229206095,0.00700187043106258,0.00406564575716137,"2950/3553/4057/4792/6095","GSTP1/IL1B/LTF/NFKBIA/RORA",5
"BP","GO:1904951","positive regulation of establishment of protein localization","5/35","334/18860",0.000354672555314389,0.00700187043106258,0.00406564575716137,"2181/2182/3553/1432/5580","ACSL3/ACSL4/IL1B/MAPK14/PRKCD",5
"BP","GO:0043409","negative regulation of MAPK cascade","4/35","183/18860",0.000355012367610381,0.00700187043106258,0.00406564575716137,"2950/3553/4609/5580","GSTP1/IL1B/MYC/PRKCD",4
"BP","GO:1905952","regulation of lipid localization","4/35","183/18860",0.000355012367610381,0.00700187043106258,0.00406564575716137,"2182/5045/3553/4792","ACSL4/FURIN/IL1B/NFKBIA",4
"BP","GO:0001659","temperature homeostasis","4/35","186/18860",0.000377583294651503,0.00711086959582918,0.00412893627305003,"154/216/3553/3934","ADRB2/ALDH1A1/IL1B/LCN2",4
"BP","GO:0009416","response to light stimulus","5/35","341/18860",0.000390028534514091,0.00711086959582918,0.00412893627305003,"3934/1432/4609/5501/5580","LCN2/MAPK14/MYC/PPP1CC/PRKCD",5
"BP","GO:0071478","cellular response to radiation","4/35","188/18860",0.000393190363636983,0.00711086959582918,0.00412893627305003,"3934/1432/4609/5580","LCN2/MAPK14/MYC/PRKCD",4
"BP","GO:0036109","alpha-linolenic acid metabolic process","2/35","16/18860",0.000394980339541087,0.00711086959582918,0.00412893627305003,"2182/3992","ACSL4/FADS1",2
"BP","GO:0044406","adhesion of symbiont to host","2/35","16/18860",0.000394980339541087,0.00711086959582918,0.00412893627305003,"1803/4057","DPP4/LTF",2
"BP","GO:0090336","positive regulation of brown fat cell differentiation","2/35","16/18860",0.000394980339541087,0.00711086959582918,0.00412893627305003,"1432/5292","MAPK14/PIM1",2
"BP","GO:1903727","positive regulation of phospholipid metabolic process","2/35","16/18860",0.000394980339541087,0.00711086959582918,0.00412893627305003,"2181/5580","ACSL3/PRKCD",2
"BP","GO:0002758","innate immune response-activating signaling pathway","5/35","342/18860",0.000395289635443162,0.00711086959582918,0.00412893627305003,"26253/4057/23643/1432/4792","CLEC4E/LTF/LY96/MAPK14/NFKBIA",5
"BP","GO:0009620","response to fungus","3/35","79/18860",0.000420338826703604,0.00747928977515,0.00434285996010703,"383/26253/4057","ARG1/CLEC4E/LTF",3
"BP","GO:0140895","cell surface toll-like receptor signaling pathway","3/35","80/18860",0.000436161698510279,0.00754577574018231,0.00438146512772699,"4057/23643/4792","LTF/LY96/NFKBIA",3
"BP","GO:0006913","nucleocytoplasmic transport","5/35","350/18860",0.000439339853385458,0.00754577574018231,0.00438146512772699,"3553/1432/4792/5501/5580","IL1B/MAPK14/NFKBIA/PPP1CC/PRKCD",5
"BP","GO:0051169","nuclear transport","5/35","350/18860",0.000439339853385458,0.00754577574018231,0.00438146512772699,"3553/1432/4792/5501/5580","IL1B/MAPK14/NFKBIA/PPP1CC/PRKCD",5
"BP","GO:0032310","prostaglandin secretion","2/35","17/18860",0.000447122936345562,0.00754577574018231,0.00438146512772699,"2182/3553","ACSL4/IL1B",2
"BP","GO:0051044","positive regulation of membrane protein ectodomain proteolysis","2/35","17/18860",0.000447122936345562,0.00754577574018231,0.00438146512772699,"5045/3553","FURIN/IL1B",2
"BP","GO:0070661","leukocyte proliferation","5/35","356/18860",0.000474742663077008,0.00793014019854144,0.00460464688247624,"383/2950/3553/4609/5580","ARG1/GSTP1/IL1B/MYC/PRKCD",5
"BP","GO:0030500","regulation of bone mineralization","3/35","83/18860",0.000485913793035843,0.00803475635555227,0.00466539239884493,"154/240/4057","ADRB2/ALOX5/LTF",3
"BP","GO:0007249","canonical NF-kappaB signal transduction","5/35","359/18860",0.000493232621079385,0.00807421800706954,0.00468830586141774,"2950/3553/4057/4792/6095","GSTP1/IL1B/LTF/NFKBIA/RORA",5
"BP","GO:0002218","activation of innate immune response","5/35","362/18860",0.000512261785452724,0.00827590665565874,0.00480541665438051,"26253/4057/23643/1432/4792","CLEC4E/LTF/LY96/MAPK14/NFKBIA",5
"BP","GO:0071466","cellular response to xenobiotic stimulus","4/35","202/18860",0.000515664312081363,0.00827590665565874,0.00480541665438051,"2950/3553/4609/6095","GSTP1/IL1B/MYC/RORA",4
"BP","GO:0031649","heat generation","2/35","19/18860",0.000560882550345798,0.00866193146147237,0.00502956249217731,"154/3553","ADRB2/IL1B",2
"BP","GO:0032303","regulation of icosanoid secretion","2/35","19/18860",0.000560882550345798,0.00866193146147237,0.00502956249217731,"2182/3553","ACSL4/IL1B",2
"BP","GO:0035338","long-chain fatty-acyl-CoA biosynthetic process","2/35","19/18860",0.000560882550345798,0.00866193146147237,0.00502956249217731,"2181/2182","ACSL3/ACSL4",2
"BP","GO:0035743","CD4-positive, alpha-beta T cell cytokine production","2/35","19/18860",0.000560882550345798,0.00866193146147237,0.00502956249217731,"383/3553","ARG1/IL1B",2
"BP","GO:0002752","cell surface pattern recognition receptor signaling pathway","3/35","89/18860",0.000596029444520476,0.00911869346429924,0.00529478198132798,"4057/23643/4792","LTF/LY96/NFKBIA",3
"BP","GO:0032930","positive regulation of superoxide anion generation","2/35","20/18860",0.000622477115758465,0.00943513924533895,0.00547852666208474,"2950/5580","GSTP1/PRKCD",2
"BP","GO:0034644","cellular response to UV","3/35","92/18860",0.000656590530463934,0.00986090548962808,0.00572574842113889,"1432/4609/5580","MAPK14/MYC/PRKCD",3
"BP","GO:0002768","immune response-regulating cell surface receptor signaling pathway","5/35","385/18860",0.000677173375648196,0.00995527691255927,0.0057805453184844,"26253/4057/23643/4792/5580","CLEC4E/LTF/LY96/NFKBIA/PRKCD",5
"BP","GO:0019646","aerobic electron transport chain","3/35","93/18860",0.000677616759703212,0.00995527691255927,0.0057805453184844,"9377/1349/1350","COX5A/COX7B/COX7C",3
"BP","GO:0071605","monocyte chemotactic protein-1 production","2/35","21/18860",0.000687199933487598,0.00995527691255927,0.0057805453184844,"2950/3553","GSTP1/IL1B",2
"BP","GO:0071637","regulation of monocyte chemotactic protein-1 production","2/35","21/18860",0.000687199933487598,0.00995527691255927,0.0057805453184844,"2950/3553","GSTP1/IL1B",2
"BP","GO:0090316","positive regulation of intracellular protein transport","3/35","94/18860",0.000699068463650578,0.0100383778508421,0.00582879799331922,"3553/1432/5580","IL1B/MAPK14/PRKCD",3
"BP","GO:0032495","response to muramyl dipeptide","2/35","22/18860",0.000755039849392093,0.0105641045594432,0.00613406193433252,"1432/4792","MAPK14/NFKBIA",2
"BP","GO:0032928","regulation of superoxide anion generation","2/35","22/18860",0.000755039849392093,0.0105641045594432,0.00613406193433252,"2950/5580","GSTP1/PRKCD",2
"BP","GO:0043651","linoleic acid metabolic process","2/35","22/18860",0.000755039849392093,0.0105641045594432,0.00613406193433252,"3992/2950","FADS1/GSTP1",2
"BP","GO:0050777","negative regulation of immune response","4/35","226/18860",0.000785417926758258,0.0107659969961669,0.00625129105715764,"383/5045/1432/5292","ARG1/FURIN/MAPK14/PIM1",4
"BP","GO:0002534","cytokine production involved in inflammatory response","3/35","98/18860",0.000789199535455117,0.0107659969961669,0.00625129105715764,"240/1432/4792","ALOX5/MAPK14/NFKBIA",3
"BP","GO:1900015","regulation of cytokine production involved in inflammatory response","3/35","98/18860",0.000789199535455117,0.0107659969961669,0.00625129105715764,"240/1432/4792","ALOX5/MAPK14/NFKBIA",3
"BP","GO:0045637","regulation of myeloid cell differentiation","4/35","227/18860",0.000798457739513813,0.0108022753684637,0.00627235614424509,"4057/1432/4609/4792","LTF/MAPK14/MYC/NFKBIA",4
"BP","GO:0009612","response to mechanical stimulus","4/35","228/18860",0.000811650207536056,0.010890749096201,0.00632372853671319,"3553/1432/4609/4792","IL1B/MAPK14/MYC/NFKBIA",4
"BP","GO:0042773","ATP synthesis coupled electron transport","3/35","100/18860",0.000836907673656652,0.0110485311433544,0.00641534490078062,"9377/1349/1350","COX5A/COX7B/COX7C",3
"BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","3/35","100/18860",0.000836907673656652,0.0110485311433544,0.00641534490078062,"9377/1349/1350","COX5A/COX7B/COX7C",3
"BP","GO:0001818","negative regulation of cytokine production","5/35","405/18860",0.000850527818010023,0.0110712332224873,0.00642852689445134,"383/5045/2950/4057/4792","ARG1/FURIN/GSTP1/LTF/NFKBIA",5
"BP","GO:0044403","biological process involved in symbiotic interaction","4/35","231/18860",0.000852153565078434,0.0110712332224873,0.00642852689445134,"383/1803/5045/4057","ARG1/DPP4/FURIN/LTF",4
"BP","GO:0045638","negative regulation of myeloid cell differentiation","3/35","102/18860",0.000886413638131097,0.0114256624064615,0.00663432669069524,"4057/4609/4792","LTF/MYC/NFKBIA",3
"BP","GO:0060252","positive regulation of glial cell proliferation","2/35","24/18860",0.000900026502032795,0.0115104951861538,0.00668358496164156,"3553/5501","IL1B/PPP1CC",2
"BP","GO:0070167","regulation of biomineral tissue development","3/35","105/18860",0.000964101693367031,0.0120158864282063,0.00697704108585684,"154/240/4057","ADRB2/ALOX5/LTF",3
"BP","GO:0035336","long-chain fatty-acyl-CoA metabolic process","2/35","25/18860",0.000977151073168239,0.0120158864282063,0.00697704108585684,"2181/2182","ACSL3/ACSL4",2
"BP","GO:0090335","regulation of brown fat cell differentiation","2/35","25/18860",0.000977151073168239,0.0120158864282063,0.00697704108585684,"1432/5292","MAPK14/PIM1",2
"BP","GO:0098743","cell aggregation","2/35","25/18860",0.000977151073168239,0.0120158864282063,0.00697704108585684,"4057/1432","LTF/MAPK14",2
"BP","GO:0006637","acyl-CoA metabolic process","3/35","106/18860",0.000990925270499602,0.0120158864282063,0.00697704108585684,"2181/2182/2194","ACSL3/ACSL4/FASN",3
"BP","GO:0035383","thioester metabolic process","3/35","106/18860",0.000990925270499602,0.0120158864282063,0.00697704108585684,"2181/2182/2194","ACSL3/ACSL4/FASN",3
"BP","GO:0046889","positive regulation of lipid biosynthetic process","3/35","106/18860",0.000990925270499602,0.0120158864282063,0.00697704108585684,"2181/3553/5580","ACSL3/IL1B/PRKCD",3
"BP","GO:0002220","innate immune response activating cell surface receptor signaling pathway","3/35","108/18860",0.00104598320508967,0.0125902537259691,0.00731054825229083,"4057/23643/4792","LTF/LY96/NFKBIA",3
"BP","GO:0035994","response to muscle stretch","2/35","26/18860",0.00105734841115208,0.0126341558325252,0.00733604007122804,"1432/4792","MAPK14/NFKBIA",2
"BP","GO:0043124","negative regulation of canonical NF-kappaB signal transduction","3/35","109/18860",0.00107422397013856,0.0126763012301305,0.00736051185468142,"2950/4792/6095","GSTP1/NFKBIA/RORA",3
"BP","GO:0042445","hormone metabolic process","4/35","246/18860",0.00107636278007827,0.0126763012301305,0.00736051185468142,"231/216/1803/5045","AKR1B1/ALDH1A1/DPP4/FURIN",4
"BP","GO:0045089","positive regulation of innate immune response","5/35","432/18860",0.00113480773146109,0.013242372229013,0.00768920176368758,"26253/4057/23643/1432/4792","CLEC4E/LTF/LY96/MAPK14/NFKBIA",5
"BP","GO:0050996","positive regulation of lipid catabolic process","2/35","27/18860",0.00114060750414834,0.013242372229013,0.00768920176368758,"3553/5580","IL1B/PRKCD",2
