Mol_ID,Gene_symbol
MOL000098,MAPK10
MOL000098,BMP2K
MOL000098,RUNDC3B
MOL000098,GNL1
MOL000098,MAN2C1
MOL000098,ATF2
MOL000098,AP1M2
MOL000098,MITF
MOL000098,HOOK1
MOL000098,BPIFB2
MOL000098,CAV1
MOL000098,QRICH2
MOL000098,DUSP1
MOL000098,ACSS3
MOL000098,SPSB1
MOL000098,CXCL10
MOL000098,PARK7
MOL000098,SCN1A
MOL000098,LCAT
MOL000098,ART4
MOL000098,FTCD
MOL000098,SH3PXD2A
MOL000098,RPS6KA5
MOL000098,SRSF1
MOL000098,HYAL1
MOL000098,ABCC6
MOL000098,TET1
MOL000098,FMR1
MOL000098,MIR29C
MOL000098,PHF3
MOL000098,GET1
MOL000098,THOC1
MOL000098,ECHDC1
MOL000098,SERPINI1
MOL000098,PLPPR1
MOL000098,FHIT
MOL000098,MDM1
MOL000098,EDNRA
MOL000098,TENT5A
MOL000098,GSS
MOL000098,TRPM7
MOL000098,SLC44A3
MOL000098,SBDS
MOL000098,PLXNA3
MOL000098,UFSP2
MOL000098,ARL15
MOL000098,INO80
MOL000098,MEIS2
MOL000098,EPB41L5
MOL000098,SPIN3
MOL000098,TP73
MOL000098,KMT2A
MOL000098,UCN
MOL000098,NEDD4L
MOL000098,SLC6A11
MOL000098,SOAT2
MOL000098,GNAI2
MOL000098,CCR7
MOL000098,MLLT3
MOL000098,RUFY1
MOL000098,HEBP2
MOL000098,CTRL
MOL000098,CIAPIN1
MOL000098,CYBA
MOL000098,GLCE
MOL000098,RRM2
MOL000098,PTPMT1
MOL000098,PDGFRL
MOL000098,MCM4
MOL000098,ALDOA
MOL000098,TUBA8
MOL000098,TUBD1
MOL000098,BCL2L2
MOL000098,ANXA8
MOL000098,C4BPA
MOL000098,ABCD2
MOL000098,ZDHHC21
MOL000098,VTN
MOL000098,BMP4
MOL000098,COL3A1
MOL000098,TPBG
MOL000098,ATF4
MOL000098,PRKCG
MOL000098,ADNP
MOL000098,CENPK
MOL000098,FANCG
MOL000098,NCF4
MOL000098,COXFA4L3
MOL000098,NAA80
MOL000098,SCGB1A1
MOL000098,RSAD1
MOL000098,AKR1D1
