ingredient_name,Gene_symbol,Mol_ID
"3,9-di-O-methylnissolin",IKBKB,MOL000371
"3,9-di-O-methylnissolin",ADORA2A,MOL000371
"3,9-di-O-methylnissolin",TUBB3,MOL000371
"3,9-di-O-methylnissolin",PTP4A3,MOL000371
"3,9-di-O-methylnissolin",ABL1,MOL000371
"3,9-di-O-methylnissolin",GABRA1,MOL000371
"3,9-di-O-methylnissolin",GABRA5,MOL000371
"3,9-di-O-methylnissolin",GABRB3,MOL000371
"3,9-di-O-methylnissolin",GABRA2,MOL000371
"3,9-di-O-methylnissolin",GABRG2,MOL000371
"3,9-di-O-methylnissolin",ELANE,MOL000371
"3,9-di-O-methylnissolin",PARP1,MOL000371
"3,9-di-O-methylnissolin",PLAU,MOL000371
"3,9-di-O-methylnissolin",CYP11B2,MOL000371
"3,9-di-O-methylnissolin",TBXAS1,MOL000371
"3,9-di-O-methylnissolin",CCNA2,MOL000371
"3,9-di-O-methylnissolin",SLC1A3,MOL000371
"3,9-di-O-methylnissolin",LRRK2,MOL000371
"3,9-di-O-methylnissolin",DHFR,MOL000371
"3,9-di-O-methylnissolin",MAPKAPK2,MOL000371
"3,9-di-O-methylnissolin",TGM2,MOL000371
"3,9-di-O-methylnissolin",MAP2K1,MOL000371
"3,9-di-O-methylnissolin",MCL1,MOL000371
"3,9-di-O-methylnissolin",TRPV1,MOL000371
"3,9-di-O-methylnissolin",PIM3,MOL000371
"3,9-di-O-methylnissolin",TUBB1,MOL000371
"3,9-di-O-methylnissolin",PPP1CA,MOL000371
"3,9-di-O-methylnissolin",PGK1,MOL000371
"3,9-di-O-methylnissolin",ROCK2,MOL000371
"3,9-di-O-methylnissolin",FGFR1,MOL000371
"3,9-di-O-methylnissolin",NPBWR1,MOL000371
"3,9-di-O-methylnissolin",CDK4,MOL000371
"3,9-di-O-methylnissolin",SIRT2,MOL000371
"3,9-di-O-methylnissolin",P2RX7,MOL000371
"3,9-di-O-methylnissolin",PDE5A,MOL000371
"3,9-di-O-methylnissolin",TDP2,MOL000371
"3,9-di-O-methylnissolin",CYP1A1,MOL000371
"3,9-di-O-methylnissolin",RPS6KA3,MOL000371
"3,9-di-O-methylnissolin",CSNK1D,MOL000371
"3,9-di-O-methylnissolin",CYP19A1,MOL000371
"3,9-di-O-methylnissolin",AR,MOL000371
"3,9-di-O-methylnissolin",FLT3,MOL000371
"3,9-di-O-methylnissolin",HSD17B2,MOL000371
"3,9-di-O-methylnissolin",GABRA3,MOL000371
"3,9-di-O-methylnissolin",GSK3B,MOL000371
"3,9-di-O-methylnissolin",PRKCB,MOL000371
"3,9-di-O-methylnissolin",PIK3CG,MOL000371
"3,9-di-O-methylnissolin",MCHR1,MOL000371
"3,9-di-O-methylnissolin",KDM5B,MOL000371
"3,9-di-O-methylnissolin",PDK1,MOL000371
"3,9-di-O-methylnissolin",PDGFRB,MOL000371
"3,9-di-O-methylnissolin",MTOR,MOL000371
"3,9-di-O-methylnissolin",CHEK1,MOL000371
"3,9-di-O-methylnissolin",CCND3,MOL000371
"3,9-di-O-methylnissolin",NQO2,MOL000371
"3,9-di-O-methylnissolin",HCRTR2,MOL000371
"3,9-di-O-methylnissolin",HCRTR1,MOL000371
7-O-methylisomucronulatol,ALOX15,MOL000378
7-O-methylisomucronulatol,ALOX15B,MOL000378
7-O-methylisomucronulatol,ALOX12,MOL000378
7-O-methylisomucronulatol,ABL1,MOL000378
7-O-methylisomucronulatol,SYK,MOL000378
7-O-methylisomucronulatol,F3,MOL000378
7-O-methylisomucronulatol,SIGMAR1,MOL000378
7-O-methylisomucronulatol,ADAMTS5,MOL000378
7-O-methylisomucronulatol,MAOB,MOL000378
7-O-methylisomucronulatol,WEE1,MOL000378
7-O-methylisomucronulatol,PDE10A,MOL000378
7-O-methylisomucronulatol,CHEK1,MOL000378
7-O-methylisomucronulatol,NDUFA4,MOL000378
7-O-methylisomucronulatol,MKNK1,MOL000378
7-O-methylisomucronulatol,MET,MOL000378
7-O-methylisomucronulatol,TGFBR1,MOL000378
7-O-methylisomucronulatol,CA14,MOL000378
7-O-methylisomucronulatol,PDE2A,MOL000378
7-O-methylisomucronulatol,MMP1,MOL000378
7-O-methylisomucronulatol,ALPL,MOL000378
7-O-methylisomucronulatol,CDK2,MOL000378
7-O-methylisomucronulatol,CDK4,MOL000378
7-O-methylisomucronulatol,KDR,MOL000378
7-O-methylisomucronulatol,TRPM8,MOL000378
7-O-methylisomucronulatol,LDHB,MOL000378
7-O-methylisomucronulatol,DRD2,MOL000378
7-O-methylisomucronulatol,AURKB,MOL000378
7-O-methylisomucronulatol,GSK3B,MOL000378
7-O-methylisomucronulatol,PTK2,MOL000378
7-O-methylisomucronulatol,PLK1,MOL000378
7-O-methylisomucronulatol,CLK4,MOL000378
7-O-methylisomucronulatol,CLK1,MOL000378
7-O-methylisomucronulatol,CLK2,MOL000378
7-O-methylisomucronulatol,CLK3,MOL000378
7-O-methylisomucronulatol,DYRK1B,MOL000378
7-O-methylisomucronulatol,BACE1,MOL000378
7-O-methylisomucronulatol,RET,MOL000378
7-O-methylisomucronulatol,CHRNA7,MOL000378
7-O-methylisomucronulatol,CDC25C,MOL000378
7-O-methylisomucronulatol,CDC25A,MOL000378
7-O-methylisomucronulatol,CDC25B,MOL000378
7-O-methylisomucronulatol,RAF1,MOL000378
7-O-methylisomucronulatol,HSD17B3,MOL000378
7-O-methylisomucronulatol,BRAF,MOL000378
7-O-methylisomucronulatol,TLR9,MOL000378
7-O-methylisomucronulatol,ALOX5AP,MOL000378
7-O-methylisomucronulatol,KIT,MOL000378
7-O-methylisomucronulatol,CDK1,MOL000378
7-O-methylisomucronulatol,CDK7,MOL000378
7-O-methylisomucronulatol,CDK9,MOL000378
7-O-methylisomucronulatol,NOX4,MOL000378
7-O-methylisomucronulatol,HSP90AB1,MOL000378
7-O-methylisomucronulatol,FAAH,MOL000378
7-O-methylisomucronulatol,MTOR,MOL000378
7-O-methylisomucronulatol,PIK3CA,MOL000378
7-O-methylisomucronulatol,SRC,MOL000378
7-O-methylisomucronulatol,IMPDH1,MOL000378
7-O-methylisomucronulatol,IMPDH2,MOL000378
7-O-methylisomucronulatol,ALDH3A1,MOL000378
7-O-methylisomucronulatol,HSP90AA1,MOL000378
7-O-methylisomucronulatol,JAK3,MOL000378
7-O-methylisomucronulatol,LCK,MOL000378
7-O-methylisomucronulatol,HSD17B2,MOL000378
7-O-methylisomucronulatol,QPCTL,MOL000378
7-O-methylisomucronulatol,ALK,MOL000378
7-O-methylisomucronulatol,ACVR1,MOL000378
7-O-methylisomucronulatol,HPGD,MOL000378
7-O-methylisomucronulatol,PDGFRA,MOL000378
7-O-methylisomucronulatol,CXCR2,MOL000378
7-O-methylisomucronulatol,BACE2,MOL000378
7-O-methylisomucronulatol,PBRM1,MOL000378
7-O-methylisomucronulatol,CHEK2,MOL000378
7-O-methylisomucronulatol,SMARCA4,MOL000378
7-O-methylisomucronulatol,BMP1,MOL000378
7-O-methylisomucronulatol,RPS6KA3,MOL000378
7-O-methylisomucronulatol,CCR3,MOL000378
7-O-methylisomucronulatol,GCGR,MOL000378
7-O-methylisomucronulatol,MAPKAPK2,MOL000378
7-O-methylisomucronulatol,PDK1,MOL000378
7-O-methylisomucronulatol,TYR,MOL000378
7-O-methylisomucronulatol,PDGFRB,MOL000378
7-O-methylisomucronulatol,AGPAT2,MOL000378
7-O-methylisomucronulatol,ADAMTS4,MOL000378
7-O-methylisomucronulatol,ADORA2A,MOL000378
7-O-methylisomucronulatol,VCAM1,MOL000378
7-O-methylisomucronulatol,FPR2,MOL000378
7-O-methylisomucronulatol,PRF1,MOL000378
7-O-methylisomucronulatol,PFKFB3,MOL000378
7-O-methylisomucronulatol,PSEN2,MOL000378
