ingredient_name,Gene_symbol,Mol_ID
"(6aR,11aR)-9,10-dimethoxy-6a,11a-dihydro-6H-benzofurano[3,2-c]chromen-3-ol",CDK5R1,MOL000380
"(6aR,11aR)-9,10-dimethoxy-6a,11a-dihydro-6H-benzofurano[3,2-c]chromen-3-ol",HDAC2,MOL000380
"(6aR,11aR)-9,10-dimethoxy-6a,11a-dihydro-6H-benzofurano[3,2-c]chromen-3-ol",CSNK1G1,MOL000380
"(6aR,11aR)-9,10-dimethoxy-6a,11a-dihydro-6H-benzofurano[3,2-c]chromen-3-ol",RPS6KA1,MOL000380
"(6aR,11aR)-9,10-dimethoxy-6a,11a-dihydro-6H-benzofurano[3,2-c]chromen-3-ol",HDAC5,MOL000380
Bifendate,GSK3B,MOL000387
Bifendate,SYK,MOL000387
Bifendate,EGFR,MOL000387
Bifendate,OXTR,MOL000387
Bifendate,ABCG2,MOL000387
Bifendate,PTK2,MOL000387
Bifendate,AVPR2,MOL000387
Bifendate,AVPR1A,MOL000387
Bifendate,JAK3,MOL000387
Bifendate,F2,MOL000387
Bifendate,HSP90AB1,MOL000387
Bifendate,PDE8B,MOL000387
Bifendate,JUN,MOL000387
Bifendate,CMA1,MOL000387
Bifendate,CTSG,MOL000387
Bifendate,PIK3CG,MOL000387
Bifendate,PIK3CA,MOL000387
Bifendate,FLT3,MOL000387
Bifendate,MAPK10,MOL000387
Bifendate,KDR,MOL000387
Bifendate,JAK2,MOL000387
Bifendate,CDK2,MOL000387
Bifendate,IRAK4,MOL000387
Bifendate,MMP13,MOL000387
Bifendate,MMP3,MOL000387
Bifendate,MMP9,MOL000387
Bifendate,MMP2,MOL000387
Bifendate,BRD4,MOL000387
Bifendate,GRM5,MOL000387
Bifendate,ATM,MOL000387
Bifendate,GSK3A,MOL000387
Bifendate,CDK5R1,MOL000387
Bifendate,FNTA,MOL000387
Bifendate,JAK1,MOL000387
Bifendate,TYK2,MOL000387
Bifendate,SETD7,MOL000387
Bifendate,PDGFRB,MOL000387
Bifendate,KLK7,MOL000387
Bifendate,KLK5,MOL000387
Bifendate,AGPAT2,MOL000387
Bifendate,TLR4,MOL000387
Bifendate,RPS6KB2,MOL000387
Bifendate,MAPK8,MOL000387
Bifendate,MAPK1,MOL000387
Bifendate,MAPK9,MOL000387
Bifendate,NGFR,MOL000387
Bifendate,PRKD2,MOL000387
Bifendate,CTSS,MOL000387
Bifendate,PDPK1,MOL000387
Bifendate,LCK,MOL000387
Bifendate,ZAP70,MOL000387
Bifendate,MTOR,MOL000387
Bifendate,KNG1,MOL000387
Bifendate,NQO2,MOL000387
Bifendate,ALK,MOL000387
Bifendate,EPHB4,MOL000387
Bifendate,AURKB,MOL000387
Bifendate,CDK7,MOL000387
Bifendate,CDK1,MOL000387
Bifendate,CDK9,MOL000387
Bifendate,CDK4,MOL000387
Bifendate,AURKA,MOL000387
Bifendate,STK33,MOL000387
Bifendate,ADORA3,MOL000387
Bifendate,HSP90AA1,MOL000387
Bifendate,CHEK1,MOL000387
Bifendate,BRAF,MOL000387
Bifendate,CSNK2A1,MOL000387
Bifendate,CAPN1,MOL000387
