Mol_ID,Gene_symbol,Description
MOL000433,CYP3A4,cytochrome P450 family 3 subfamily A member 4
MOL000433,FOLH1,folate hydrolase 1
MOL000433,FPGS,folylpolyglutamate synthase
MOL000433,GAA,"glucosidase alpha, acid"
MOL000433,GBA,glucosylceramidase beta
MOL000433,GLA,galactosidase alpha
MOL000433,GLP1R,glucagon like peptide 1 receptor
MOL000433,GSK3B,glycogen synthase kinase 3 beta
MOL000433,HSD17B10,hydroxysteroid 17-beta dehydrogenase 10
MOL000433,HPGD,15-hydroxyprostaglandin dehydrogenase
MOL000433,HSD11B2,hydroxysteroid 11-beta dehydrogenase 2
MOL000433,IGF2,insulin like growth factor 2
MOL000433,KMT2A,lysine methyltransferase 2A
MOL000433,NFE2L2,"nuclear factor, erythroid 2 like 2"
MOL000433,POLB,DNA polymerase beta
MOL000433,SHMT2,serine hydroxymethyltransferase 2
MOL000433,SLC22A1,solute carrier family 22 member 1
MOL000433,SMPD1,sphingomyelin phosphodiesterase 1
MOL000433,SNCA,synuclein alpha
MOL000433,TSHR,thyroid stimulating hormone receptor
MOL000433,TYMS,thymidylate synthetase
MOL000433,USP1,ubiquitin specific peptidase 1
MOL000433,ABCB11,ATP binding cassette subfamily B member 11
MOL000433,ABCC4,ATP binding cassette subfamily C member 4
MOL000433,SLCO1B1,solute carrier organic anion transporter family member 1B1
MOL000433,SLCO1B3,solute carrier organic anion transporter family member 1B3
MOL000433,TDP1,tyrosyl-DNA phosphodiesterase 1
MOL000433,KDM4E,lysine demethylase 4E
MOL000433,SFTPA1,surfactant protein A1
MOL000296,CD86,CD86 molecule
MOL000296,NOS2,nitric oxide synthase 2
MOL000296,NLRP3,NLR family pyrin domain containing 3
MOL000296,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000296,IL1B,interleukin 1 beta
MOL000296,TNFSF11,TNF superfamily member 11
MOL000296,GPA33,glycoprotein A33
MOL000296,IL6,interleukin 6
MOL000296,IL18,interleukin 18
MOL000296,EPHB2,EPH receptor B2
MOL000296,NFATC1,nuclear factor of activated T cells 1
