	logFC	AveExpr	t	P.Value	adj.P.Val	B
LCN2	3.82151299319931	8.84028304730485	11.9047145498652	6.96779289229121e-26	6.44779431341982e-25	47.889574388872
ANXA3	4.04885089130892	8.85239565460967	25.5590797763006	8.4693287427567e-70	1.16148374378165e-66	148.521307047954
MMP8	4.140334729404	5.71682194365205	10.1872029534559	2.01364134360541e-20	1.27258421134584e-19	35.4061787982965
RETN	4.244587545932	7.35948438037548	14.8072509413573	1.73672507777814e-35	3.54426305307283e-34	69.884515745993
GPR84	4.30448117565302	6.21328035116288	14.7725684533689	2.26792145906506e-35	4.50757607095916e-34	69.6188935585186
CLEC4D	4.37381461599651	6.68441794784103	20.2889731882179	1.44510770323877e-53	2.10831989810813e-51	111.334578087811
C19orf59	4.74435889979504	8.7477908915444	26.3970391314851	3.0369863682008e-72	5.20615388168821e-69	154.118014406624
HP	5.14091540845738	7.57008612688279	19.2936910042487	2.37515126121274e-50	2.36034959393271e-48	103.962261459225
ARG1	5.47032597011568	7.5110306574793	24.8725685740106	9.11630812174728e-68	1.04184207984702e-64	143.869473631821
CD177	5.61444426614603	6.87238109440389	18.5261599004943	7.62433429374391e-48	5.74506156617604e-46	98.215458476383
