	logFC	AveExpr	t	P.Value	adj.P.Val	B
SGK223	-1.5510428124158	5.4675925500809	-17.8103914827192	1.729083813318e-45	9.63929081944842e-44	92.8144113644603
HNRNPH1	-1.54762159637404	5.63440333859598	-15.5068812250928	7.96444308181344e-38	1.96446712992787e-36	75.2448082012716
SIT1	-1.54600911196564	5.67964388576346	-13.3248714189356	1.50712958587514e-30	2.00278828882671e-29	58.5693971174672
SIRPG	-1.54340336137627	3.04769383531346	-19.6770226948684	1.35604976847453e-51	1.57600563769998e-49	106.812948886526
MATK	-1.54255016032767	3.15838060331575	-13.8258589486212	3.26564552869084e-32	5.04336292572818e-31	62.3816218613956
EMR3	-1.53986560461253	5.60303915345929	-6.68440347051259	1.66941805133166e-10	5.14712211240161e-10	12.8536138171643
PPP3CC	-1.53668260318781	3.67329675727546	-15.5313741047749	6.596225779785e-38	1.66287941808771e-36	75.4324576106152
BIRC3	-1.53252496467276	4.20541705273749	-11.4583144183318	1.93203920449575e-24	1.6295194126971e-23	44.5887106182288
AGAP6 /// AGAP7	-1.5304299762581	4.6673141588062	-14.9634521544393	5.22014654812948e-36	1.1116318285877e-34	71.0810241554078
ANKRD36 /// LOC400986	-1.528147608481	3.01829141477431	-16.8020663633296	3.80555073173658e-42	1.48265121406351e-40	85.1504134627989
TIGD3	-1.52642028631375	3.36638260567251	-11.6624148929982	4.24635028386868e-25	3.70920049636784e-24	46.0937906764156
MAD1L1	-1.52597548149363	4.31148259225747	-13.2992913346016	1.83201229050389e-30	2.41579005307407e-29	58.3752192708972
KLRD1	-1.525029947845	3.87177503946414	-11.4280324969094	2.41757421548979e-24	2.02409113499554e-23	44.3660316978503
PABPC4	-1.52396370643151	4.0284640013082	-17.8901127118772	9.43343289793067e-46	5.67412713869391e-44	93.417767632866
RFTN1	-1.52286843854458	4.07205621021244	-19.4739761381919	6.16831802892844e-51	6.40850859460035e-49	105.304665812736
PURA	-1.50697115518237	5.23604637005964	-17.6739033924353	4.88384489651568e-45	2.59600964770605e-43	91.780458115371
LAT /// SPNS1	-1.50518861102625	4.74450545203347	-13.7098057111713	7.94438136553602e-32	1.18423093529305e-30	61.4970985346948
CUTA	-1.50336104188104	7.35347264377787	-14.3611788106871	5.36519295796049e-34	9.6559391372008e-33	66.4701778641311
MORC2	-1.50071993944781	3.57872765352427	-16.6637100838988	1.09859269723691e-41	4.05002694889973e-40	84.094788836041
RPL5	-1.50061728975007	8.20719850534166	-13.2856988315203	2.03220812480795e-30	2.66951170724294e-29	58.2720597569813
PLEKHO1	-1.48162037412218	6.70212841439531	-11.0339674518429	4.40301938445145e-23	3.33239557606883e-22	41.4841368356574
RHOH	-1.48097402127767	5.38922339406572	-10.9700012828172	7.03248492107323e-23	5.21880401556268e-22	41.0192730880934
SYTL2	-1.47937843672859	2.76229383433959	-16.5165176984931	3.39655536197773e-41	1.17627172308491e-39	82.9708954617711
NKTR	-1.47814795406802	6.19724016700958	-17.8180052356855	1.63183551678716e-45	9.17171814640128e-44	92.8720529741572
IFIT2	-1.4780307167743	5.6997565595996	-4.6805766207328	4.83440905282633e-06	9.94585744831387e-06	2.85762975463763
MYCBP2	-1.47476857250422	7.3311453919884	-16.0806669014517	9.65000133498016e-40	2.80381606584572e-38	79.6385779538852
PRPF19	-1.47209425204323	4.80161573620885	-19.0524771973812	1.44901540404843e-49	1.30735508231053e-47	102.161615669066
KIAA0182	-1.46754428979482	3.55228583094411	-19.1424836569815	7.3748951297009e-50	6.83373728437285e-48	102.834109092079
CPA3	-1.45974515133919	2.55385122897343	-12.7864137765351	9.07343048914895e-29	1.05273287418095e-27	54.493916457375
PRR5L	-1.45773907618328	3.23031825959634	-14.5852209572977	9.58362961031596e-35	1.82541522883157e-33	68.1844507510995
RBBP7	-1.4561276493192	3.91211219953715	-15.7805359057099	9.69923579674503e-39	2.61562148491964e-37	77.3410045870119
AES	-1.45293626093497	5.5501545421225	-15.4881847268018	9.19696233430085e-38	2.25227038308218e-36	75.1015638613852
GPR171	-1.44438007530615	6.15792926400748	-7.77626878883524	2.3368552810578e-13	9.09410707276579e-13	19.3158171018267
DKC1	-1.44043376106004	4.68584053192084	-17.2653937050268	1.1000963331739e-43	5.02890703771563e-42	88.6789998205089
NHP2L1	-1.44006452985806	5.4293541351992	-15.8536701770863	5.52645888767299e-39	1.51579714371095e-37	77.9010312533283
LY75	-1.43461279540879	4.94252137560741	-7.75758143958298	2.62779014755998e-13	1.01743405092144e-12	19.2001633406914
MAP3K4	-1.43344868576912	3.52918621202954	-18.291131477715	4.50700862480838e-47	3.12167253942536e-45	96.4461173505218
GZMA	-1.43253013366223	6.58797341098359	-6.54753414884125	3.64153300212791e-10	1.09613660208916e-09	12.0891111035929
PQLC3	-1.43120836744024	4.51536190888258	-12.5111022837335	7.29547444724596e-28	7.8409197938504e-27	52.4212962746471
RANGRF	-1.43037261040344	5.85542815163336	-14.6438431834833	6.10536320751043e-35	1.17267438414283e-33	68.6332182906985
PCYOX1L	-1.42847082160859	4.43160167105125	-14.0659349843582	5.18024880926177e-33	8.41729054149477e-32	64.213673056315
THEM4	-1.42585343779621	2.67658431767362	-23.1854652197209	1.15156465741041e-62	5.64019918275941e-60	132.185814440341
WDR54	-1.42016450751183	3.6389985913002	-14.1177283750815	3.48095436973779e-33	5.82168393007122e-32	64.6092714869191
C14orf43	-1.41357060615374	5.19241117685406	-12.5473110783345	5.54874676311404e-28	6.02021464472673e-27	52.6933968766518
MOAP1	-1.4113944824979	4.94219279841171	-12.6763456979274	2.08986006360978e-28	2.32632637275524e-27	53.6642870722528
ID2	-1.41003802393465	6.66985353911315	-10.2566534871613	1.22622787633091e-20	7.85083524556588e-20	35.8980610833603
LEPROTL1	-1.40977074151579	5.5821629861307	-17.1146148572999	3.48127247070512e-43	1.48267610755435e-41	87.5318850836452
TAGAP	-1.40529673286441	5.47821390757424	-11.9684604328982	4.32469326726531e-26	4.06224955255319e-25	48.3635472040409
MYOM2	-1.4052842558549	3.3718195094839	-8.79729841824221	3.06659529512932e-16	1.45721718216921e-15	25.8680392079847
CCT4	-1.40525874864022	6.73633019463149	-14.331879530075	6.71999110341336e-34	1.19685659730144e-32	66.2461040643676
SET	-1.40417752086545	7.68758672742675	-17.8492286543548	1.28705778023621e-45	7.41626487317622e-44	93.1083966706647
ISOC1	-1.3996610051734	3.61011278920344	-14.2889219081343	9.34790662183658e-34	1.64777880992117e-32	65.9176272162539
TCL1A	-1.39825606036558	3.78050351369826	-9.98592387610634	8.41749497448632e-20	5.11237936581512e-19	33.9880020830552
C6orf48	-1.39370784874191	7.02519849303576	-12.7398193893239	1.29189282964382e-28	1.47151314499463e-27	54.1425571818816
TRBV9	-1.39169815603962	4.32376555874553	-10.3147863470394	8.08825892859882e-21	5.24207858916844e-20	36.3107602486311
DDX18	-1.38833919462219	4.67635612663336	-20.670751320187	8.66291137966132e-55	1.65004398139827e-52	114.136313553522
CST3	-1.38804221179695	7.08836915308664	-9.45238351699708	3.53081622906342e-18	1.91692849427457e-17	30.2858662531119
GATA3	-1.38155132801794	3.45784032341514	-24.3959307192151	2.43011850353072e-66	2.38047465410145e-63	140.604663182108
BTN3A2	-1.38136217766004	5.71803762265201	-7.53364453283747	1.05880762897212e-12	3.90966284968325e-12	17.82721720084
FUS	-1.38086267813402	8.70047283558917	-17.7466440965484	2.8078053315956e-45	1.52802548878976e-43	92.3316485405045
MPHOSPH10	-1.37958095904995	4.7099414259087	-14.0462145774835	6.02664552011458e-33	9.74639347439285e-32	64.0630794708788
P2RY8	-1.37558211852149	5.52304348099285	-14.1192585696083	3.44030340767582e-33	5.76776539521592e-32	64.6209608848248
MPEG1	-1.37468262718702	5.44845244796721	-11.3381428663279	4.69875518286113e-24	3.87717981815629e-23	43.7060159913733
ATP5G2	-1.37168822436665	8.434622367159	-17.8610302383696	1.17664285712389e-45	6.89593168487052e-44	93.1977111268796
XRCC6	-1.37094168483987	7.22278162774841	-17.214759630159	1.61950800899639e-43	7.25814798541716e-42	88.2939142336696
GLOD4	-1.36629946757722	3.43621540427497	-22.2601916140596	8.36994379275089e-60	2.86963522934464e-57	125.629831764575
AKR1B1	-1.36421408992946	5.72915211542299	-13.1122682840957	7.6224636549279e-30	9.55525288516282e-29	56.957145083198
KCNA3	-1.35906471116408	3.57523378260901	-15.5434812987776	6.00941149072946e-38	1.5205363318056e-36	75.5252135885607
RNF125	-1.35550203098752	3.39054345998712	-19.5158143127158	4.51305468120827e-51	4.76092553062233e-49	105.615766172692
EEF2	-1.35247803174956	8.64836725019273	-14.6041133978656	8.28754828573539e-35	1.58736644120915e-33	68.3290684036852
VPREB3	-1.35220735440573	3.2717659390397	-10.201868492643	1.81359183157616e-20	1.14933449067632e-19	35.5099406003201
LOC100170939 /// LOC653080 /// SMA4 /// SMA5	-1.35091356941157	4.73017606851517	-12.7167416552851	1.53884821579558e-28	1.73836609814009e-27	53.9686176652708
LOC399491 /// NPIP	-1.34888005333179	3.85468091431731	-15.5102228318898	7.76223825451718e-38	1.92150424950268e-36	75.2704098337181
HSP90AB1 /// HSP90AB3P	-1.3473816998647	7.77235352913017	-9.23937979972249	1.53163542730972e-17	8.06018735614946e-17	28.832998847217
HSPA9	-1.34721575176313	4.33742279922504	-17.430973154893	3.10915324867267e-44	1.49087159623416e-42	89.9372820496073
SF3A3	-1.34493896042172	5.01364459632622	-16.968346868748	1.06553593446143e-42	4.29787053094235e-41	86.4179733340179
ZNF146	-1.34400074552001	3.83361185596864	-16.2013089251372	3.81897907055925e-40	1.16905086994753e-38	80.5615269265127
CTCF	-1.34327507031022	5.34854183588134	-16.4816339682033	4.43881678149552e-41	1.52184833353574e-39	82.70441922124
Septin 6	-1.34222235320648	4.61135977036686	-18.0498260108112	2.80575105762389e-46	1.79804065440439e-44	94.625231165768
SLC25A6	-1.34177814512853	9.14280463270945	-14.0597307175232	5.43286897671955e-33	8.80689895351441e-32	64.1662927006228
APRT	-1.34022330345609	6.44165277599626	-12.256280027841	4.98469143959205e-27	4.99708029258519e-26	50.5109092393906
TNFRSF25	-1.33771624713952	3.59166439854278	-19.7719128154454	6.68959479733288e-52	7.90871578022613e-50	107.516480378714
LOC389901 /// XRCC6	-1.33648742470062	8.19234187870725	-20.507520836827	2.88028599282744e-54	4.93753026320444e-52	112.940277084058
RABL2B	-1.33534772646247	3.28785335208212	-20.3494574731148	9.24337605053044e-54	1.4404961267838e-51	111.779456229933
PSME2	-1.33265959377302	8.05139884654708	-9.94694451472407	1.10901200240643e-19	6.65892758362597e-19	33.7146649219943
CIRH1A	-1.33110321352737	3.86719286995518	-13.5606899419115	2.4868909667136e-31	3.56004412500107e-30	60.3617741191198
NDNL2	-1.32536350117551	5.06398247076709	-18.3895494907777	2.14053098865524e-47	1.51315680301124e-45	97.1875428377565
ID2 /// ID2B	-1.32451879203574	6.32429892062317	-11.5855367159722	7.52000271851865e-25	6.48612058375879e-24	45.5260276240226
NSA2	-1.32378130365749	7.46098903233822	-12.2874476128807	3.94225033305329e-27	3.98115029952083e-26	50.7441271926498
NOL11	-1.32152665218005	4.11905088054989	-17.5323569057475	1.43536736128848e-44	7.08080143622668e-43	90.7069423347838
ANAPC1	-1.3210901703832	3.80177081567003	-18.6864201378333	2.27553262327668e-48	1.81434037183816e-46	99.4194515009313
PI3	-1.31717956944023	7.19177255071463	-3.82875606777045	0.000165224175633977	0.000287257143083718	-0.511176717974541
NHP2	-1.31662219906531	6.02324850107442	-12.4053581139665	1.62104072630856e-27	1.71270820651738e-26	51.627552672959
HSP90AB1	-1.3144891256252	7.01011265067898	-9.03582110515551	6.13905575756122e-17	3.10210061382441e-16	27.4590357103833
TAF4	-1.3051996701672	4.30338852278779	-15.6696165558242	2.27677171510134e-38	5.91356956456434e-37	76.4914746180678
NLRP1	-1.3046726770536	4.33108091888953	-10.3548433451232	6.06900627142889e-21	3.95957906785803e-20	36.595643022564
PARP1	-1.30224770378661	3.72340414144911	-18.2498329111857	6.16133707017081e-47	4.14198904805503e-45	96.134780902251
PJA1	-1.29387602076097	2.78413286351437	-22.633315527897	5.80138023050017e-61	2.34000377885528e-58	128.28591442698
LOC728554 /// THOC3	-1.29119759355274	3.46644007868883	-14.9654612842591	5.14004832545035e-36	1.09798477780726e-34	71.0964160848138
LDLRAP1	-1.29111513303109	5.90106979503187	-10.2097119867282	1.71484892421069e-20	1.08877028456599e-19	35.565458521429
POU2AF1	-1.29091180330375	5.09476701702681	-5.77796970735497	2.38706646420711e-08	6.18832315503522e-08	8.00164188786688
BEX4	-1.28903914992272	4.91987384247742	-11.5221097930328	1.20412801384647e-24	1.03337994880416e-23	45.0583700621547
BANK1	-1.28795177474449	3.31337988740267	-11.0206268838788	4.85503018560999e-23	3.65432952609524e-22	41.3871156947329
PLGLA /// PLGLB1 /// PLGLB2	-1.28770430246056	4.68583648924015	-8.0148468937346	5.1534778952125e-14	2.1172796840906e-13	20.8065514744167
TMEM66	-1.28734029418596	7.37472028362989	-13.1946980599736	4.0676914015133e-30	5.24288720680013e-29	57.5817976230044
LUC7L2	-1.2865158031318	4.41304610490419	-16.7271284253485	6.75693796952984e-42	2.55979688713073e-40	84.578755714278
TRAT1	-1.28525926132104	3.02607436210847	-10.4656962622817	2.73547287508976e-21	1.82818104332266e-20	37.3861420471894
NHP2L1 /// SIGMAR1	-1.28324674844209	7.09677473950955	-14.7166854329906	3.48620922604663e-35	6.79117518835276e-34	69.1909468599941
LRRC47	-1.27768402637592	5.92278367028506	-18.7559930110633	1.34708859239074e-48	1.08670429153215e-46	99.9414885883703
IFIT1	-1.27752412739595	5.60999846698184	-2.99300195738252	0.00305735789215003	0.00457536077400104	-3.23056104905829
ARHGEF3	-1.27650895955547	4.22263118306079	-15.1985667458152	8.54578135650572e-37	1.91498113599868e-35	72.8824383869608
ESYT2	-1.27638804993768	4.61090548105375	-14.5878833110684	9.38939278266174e-35	1.79340017578584e-33	68.2048299969472
M6PR	-1.27523175720205	6.61755308226836	-16.6695975393233	1.05011612324532e-41	3.89224122005036e-40	84.1397249782057
CHST7	-1.27308448632007	3.19745936711214	-10.6591856230656	6.75968929671344e-22	4.7345443827951e-21	38.7731465871047
JAK1	-1.26969978831004	7.71494768749404	-15.646745586036	2.71482473146232e-38	6.99832826452523e-37	76.3162848084572
LOC150776 /// SMPD4	-1.26703634682572	5.64585106733879	-20.2983034022283	1.34881633824742e-53	2.01061600681795e-51	111.4032287054
HMGN3	-1.26580509240173	4.23663445996692	-15.909970824488	3.58440623404907e-39	9.99116810848554e-38	78.3320871330298
PRPF8	-1.26448866357439	5.70243233283536	-16.3104870119229	1.65113800407636e-40	5.2415987471998e-39	81.3964172792672
GOLGA8A /// GOLGA8B	-1.2621536287891	3.0851221037227	-16.7060255790919	7.9429558618231e-42	2.97622122101208e-40	84.4177312521111
DDX27	-1.26075325284237	5.11387198923654	-14.9296572062331	6.77079595850084e-36	1.42415177568835e-34	70.8221276651086
PYHIN1	-1.25235645735392	3.3734699356735	-14.3752807699697	4.81412658290641e-34	8.68696473131296e-33	66.5780362631409
CCT3	-1.24864045221808	6.11415747979654	-12.761564565958	1.09552492211128e-28	1.25618969747777e-27	54.3065049299388
HNRPDL	-1.24442538225255	4.92179567896002	-15.9981185246154	1.82006636757239e-39	5.20008128435161e-38	79.0068435469069
RABL2A	-1.24384227947591	3.35380420760748	-18.4058610794537	1.89216172265528e-47	1.35151593044242e-45	97.310354052201
XYLT1	-1.23833960255562	3.23848501612873	-12.9454193540062	2.71272764480131e-29	3.30104508780543e-28	55.6946152554015
CXCR4	-1.23814619927835	8.64911403196194	-10.0395381586757	5.75670152199384e-20	3.52758734015297e-19	34.3646652676796
OCIAD2	-1.23576012705184	3.18654667618015	-13.4558437180392	5.54319996436409e-31	7.67873174861507e-30	59.5643812682975
STAG3 /// STAG3L1 /// STAG3L2 /// STAG3L3	-1.2341140418157	4.52898195145253	-14.5451606511202	1.30414866003968e-34	2.45674378073957e-33	67.8778261329617
TAF15	-1.23349630781608	5.43107775743421	-17.8522684708525	1.25766264570439e-45	7.30829895050423e-44	93.1314029083482
LOC100128751	-1.23165556133768	6.23237709987763	-10.597411141022	1.05721448104356e-21	7.30042265510141e-21	38.3293497611168
PUF60	-1.23015484213399	6.57887967919316	-16.1416335944298	6.04032789820396e-40	1.80080558252107e-38	80.1050408879909
FNBP4	-1.22958025937141	4.70836860065049	-18.4528367297999	1.32663455402887e-47	9.78143348061931e-46	97.6639231466423
RPS5	-1.22852102847582	9.69231943454595	-11.4835198518486	1.60295551751471e-24	1.36370545702213e-23	44.7741854905356
FTSJ1	-1.22498903297106	4.59811275822671	-15.3038273981169	3.80083505805431e-37	8.71649698765163e-36	73.68899399509
C19orf2	-1.22486987868175	3.46286078559389	-16.1769321572996	4.6055087114566e-40	1.38508654537096e-38	80.3750689276926
SFRS7	-1.22434593115222	5.92243594518454	-13.5611227284509	2.47867277570198e-31	3.5590829451938e-30	60.3650671649656
RPL13	-1.21574976076986	9.70478383758714	-13.0823097302659	9.5755368405919e-30	1.195982807212e-28	56.7302653173328
PAQR8	-1.21422148772793	3.89106533391197	-17.8829915697179	9.95790349839351e-46	5.88632278349003e-44	93.3638897931492
EPRS	-1.21199898834747	4.50307291073245	-14.1540007864895	2.63485943581216e-33	4.48318390852705e-32	64.8863885461054
CHCHD10	-1.20971147570006	5.13044700539553	-12.2083524854887	7.14857565876194e-27	7.09374577310139e-26	50.1525332609851
RRS1	-1.2074210501321	4.1230441879548	-13.5410745988999	2.88938802050328e-31	4.1019738419443e-30	60.212535319271
LYAR	-1.20661518673604	5.02029154945019	-13.4220370123819	7.17688076248833e-31	9.8423742776765e-30	59.3074336974974
EIF3D	-1.20439858620334	7.89328026147948	-19.3567101166039	1.48208819560226e-50	1.49451158194775e-48	104.431839164472
CALHM2	-1.20328378244236	4.57221968507112	-10.6879566591253	5.48699538324271e-22	3.87081557025671e-21	38.9801469270773
FOXJ3	-1.19592771966855	5.77807170928258	-13.7923916579372	4.22028364642357e-32	6.44509687383662e-31	62.1264655141795
STAG3L2	-1.19566631979379	5.75554508704028	-12.7677667028131	1.04519079700677e-28	1.20249551930796e-27	54.3532750850582
EIF3A	-1.19397739889313	5.1028946552332	-16.5579169888245	2.47244764756477e-41	8.82998620799562e-40	83.2870856557243
LRRC33	-1.19375768752688	4.1769420133118	-12.8878943818174	4.19982765979072e-29	4.96521004537671e-28	55.2599363847823
CPPED1	-1.19232045698364	7.81974307970295	-9.00220279208182	7.71059480428606e-17	3.85642221538946e-16	27.2335328110531
C16orf80	-1.19227825616659	3.86849252375378	-17.4481136863482	2.72817106335875e-44	1.31739922404584e-42	90.0674479689954
ABI3	-1.19002401953032	4.12574683817413	-10.7474779650092	3.56175561682067e-22	2.53087650409734e-21	39.4089938609886
EEF1G	-1.18991097314167	9.2104871021505	-13.5659893278609	2.38810765179315e-31	3.44742193017803e-30	60.4020976728897
RPL37 /// SNORD72	-1.18924961096468	9.90551264200375	-14.3097768675069	7.96391200602255e-34	1.40743671714682e-32	66.0770873656067
SLC20A1	-1.1870814730063	7.19167279346405	-14.0736048734619	4.88411835871384e-33	7.9739046632621e-32	64.2722483516117
SUPT16H	-1.18621846010596	5.76666328589938	-17.1805924655799	2.10256368465227e-43	9.30147044236167e-42	88.033986111664
GCN1L1	-1.1857503109433	4.13348034768405	-14.1631700794804	2.45573427954322e-33	4.19924437776256e-32	64.9564494872977
DDX21	-1.18533232765376	6.66546018473618	-12.6799664966515	2.03332180109067e-28	2.26707115285833e-27	53.6915577907745
LY86	-1.18497410187205	5.88632120971106	-6.67071612964079	1.80568025620567e-10	5.5572484366258e-10	12.7766750970864
RNASEH2B	-1.18044982245301	4.29215320689172	-13.8201223641723	3.41240892415286e-32	5.24638744235788e-31	62.337881450394
CIB1	-1.17900412161413	7.33188279002004	-15.3419229632013	2.83487260921707e-37	6.58348435529712e-36	73.9808978914132
CUL1	-1.17622769780664	4.51849305647961	-13.5007592660257	3.93253842480564e-31	5.52569999567465e-30	59.9058871781338
S1PR1	-1.17488606319766	5.06459849076883	-5.76325192679713	2.57681844194354e-08	6.65257682846645e-08	7.92713090758088
ERP29	-1.17425515381153	7.86152194154234	-14.395440141058	4.12313516545609e-34	7.51923878445011e-33	66.7322356209704
GIMAP1	-1.17343417335397	5.16053762721369	-12.5726390789031	4.58158316987495e-28	5.01851690029274e-27	52.8838218669943
PRPS1	-1.17334148785301	4.72259483796709	-16.8127452797668	3.50667551256858e-42	1.3740156565533e-40	85.2318568024702
TTC27	-1.17101798616839	2.7122955063156	-19.8204630535572	4.66156895096128e-52	5.91932931421139e-50	107.876105789341
KIAA0947	-1.17003453185876	5.06303152572493	-11.3519898437953	4.24195536440305e-24	3.50869577004967e-23	43.8075898915798
ADRB2	-1.16999161347786	5.73976012535336	-10.259780798518	1.1991093914212e-20	7.69877630802918e-20	35.9202401798608
ALDH1A1	-1.16939453901902	3.09854577039048	-13.6779990115035	1.01349047365518e-31	1.49773796936499e-30	61.2548149747634
IDO1	-1.16937271640952	3.12689062040447	-5.30510932356174	2.59950986561724e-07	6.04027080601065e-07	5.68068073481399
TTC19	-1.16704313780867	3.92089072365068	-17.5330357366025	1.42796110623585e-44	7.08080143622668e-43	90.7120936500669
CCT6A	-1.16552097926564	3.67270790487159	-12.3996802104968	1.69198269291761e-27	1.7821697888381e-26	51.5849715705759
ELP2	-1.16499067488517	3.72139499601732	-15.3409518761296	2.85614107973304e-37	6.59412773862945e-36	73.9734570632274
RPL13A	-1.16469040579511	10.3842011649976	-12.6871811588523	1.925177447128e-28	2.1499905138366e-27	53.7459006390647
LOC100287430 /// RPS5	-1.16330199530617	9.76197082127303	-11.3293149168352	5.01524580118372e-24	4.12344609816748e-23	43.6412777363758
KRT23	-1.16270560541734	6.62792841333135	-4.26693573494218	2.87479042127499e-05	5.45144853945869e-05	1.14958972524557
DHX15	-1.16240912608914	6.20913643387592	-13.2154447024775	3.47266683063967e-30	4.48438351369044e-29	57.7391061418563
EIF3E	-1.16101370426103	8.30247278477277	-11.9191404949709	6.25519906645789e-26	5.81191056892978e-25	47.9967824874647
VEGFB	-1.16032807033434	4.15440283779099	-15.1115206501569	1.67007496719037e-36	3.68968053031377e-35	72.2154667934493
C7orf23	-1.15945693189865	4.28109082592956	-9.59100718678381	1.34831666828321e-18	7.4740560989636e-18	31.239355116312
KLF2	-1.15602843013105	9.68463956483729	-16.0909885804287	8.91409587105364e-40	2.60101937820489e-38	79.7175570067862
PECAM1	-1.155144902545	8.22613847381632	-10.1137126704285	3.39885946298631e-20	2.11488015768576e-19	34.8870908311084
POM121	-1.15374642832546	5.65274781701196	-14.5176112698168	1.61186936554089e-34	3.00342071725921e-33	67.6669846452347
LOC642869 /// LOC646817 /// SET	-1.15101655522986	6.43836848494175	-14.3860478133053	4.43178663438916e-34	8.03935474920806e-33	66.6603919541557
RPS8	-1.1492640824626	9.14500120866937	-12.3941319549134	1.76429635362089e-27	1.85548774490467e-26	51.54336663505
TOP2B	-1.14914418745545	6.52184753311785	-17.794797777712	1.94674789230507e-45	1.07652018528515e-43	92.6963438387788
IRF8	-1.14826364423372	5.03476699748178	-12.9974579856681	1.82629809781733e-29	2.25232483034774e-28	56.0881110310283
CCDC115	-1.14678370850359	4.21392608322446	-16.2125663247344	3.50260218771217e-40	1.07701090588082e-38	80.6476291341865
EXOSC8	-1.14676851338641	4.40765858716488	-9.35720151537767	6.81444681867851e-18	3.65623332047563e-17	29.6347776684242
UBE2L6	-1.14523247624378	8.82834940563844	-6.42370036052224	7.30816975586708e-10	2.14704884387235e-09	11.4068559093549
NPAT	-1.1446955142058	4.25031964665276	-20.8486284233635	2.34669228660918e-55	4.87614212402398e-53	115.436461331798
ID3	-1.14394527813935	3.36823427908929	-15.5144518620466	7.51367858762838e-38	1.86671355345536e-36	75.3028103072624
SFRS15	-1.14126029400641	5.86850578696934	-17.3009134973994	8.38781397290012e-44	3.91260138858341e-42	88.9490537952439
KARS	-1.13807500132533	7.71012022096363	-13.3433295737299	1.30907154449369e-30	1.74636256431775e-29	58.7095440513117
C11orf46	-1.1311077696532	4.02260783258363	-15.9397306932443	2.85127299260431e-39	8.04575263797851e-38	78.5599126923512
GBP1	-1.13076013315501	6.42759355135864	-3.8795044339395	0.000135953378421356	0.000238483580413209	-0.326881234420796
CLC	-1.12641275532644	8.20080045681712	-4.40875816151411	1.5823386194208e-05	3.08767669703142e-05	1.72018521935215
RBBP4	-1.12635529936054	5.30366214588041	-16.7671911843439	4.9709611047272e-42	1.90423912263209e-40	84.8844012112025
HIGD2A	-1.12566145712297	6.99800435836467	-14.9616568387672	5.29277589271612e-36	1.12360880174472e-34	71.0672702893561
ASTE1	-1.12219303054822	4.23872132606333	-13.1806247788973	4.52825891531151e-30	5.80378904341888e-29	57.4751093910523
BLCAP	-1.12178912975117	6.94222459393089	-20.584468875567	1.63425001005047e-54	3.02866278889624e-52	113.504445748689
TSEN54	-1.12153707115559	3.89457806519432	-13.1454536143222	5.91996618502666e-30	7.50336564338776e-29	57.2085533490142
PITPNC1	-1.11903607377132	6.72678788889915	-11.137334033019	2.06244780255501e-23	1.61072945126648e-22	42.2371255985094
STAG3L3	-1.11868140504643	5.30661072961102	-12.3331905599766	2.7932134229133e-27	2.87583550163911e-26	51.0866379623017
TECR	-1.11789379558704	4.31504380545611	-10.1810078418138	2.10460702568808e-20	1.32640536536243e-19	35.36236434293
UTP3	-1.11751520083906	4.83729904687669	-14.097639274321	4.06135125287926e-33	6.67834185635326e-32	64.4558169274782
CCT8 /// CCT8P1	-1.11723301187469	6.04748978143682	-10.3612911383298	5.79459468768811e-21	3.78775364856791e-20	36.6415376937526
ABCF1	-1.11435979643924	4.59575626490006	-13.1338372232794	6.46770817127468e-30	8.15240347985855e-29	57.1205380362558
C11orf2	-1.11237574116601	4.9027528110544	-10.7904485091273	2.6059614959891e-22	1.8691504161085e-21	39.7190949683406
HOPX	-1.11083469357725	4.24845900694087	-7.18718354060118	8.72345825673726e-12	3.00284905956061e-11	15.7520640932531
RNASE6	-1.1107324619347	6.52589840984536	-6.16851065345212	2.98623516259076e-09	8.35780184076931e-09	10.0299658656796
UHRF2	-1.10849865535053	5.58547691903349	-12.1087363061878	1.51095637856709e-26	1.46751103227118e-25	49.4086590934632
C12orf41	-1.10606638721453	4.31760262211736	-11.5649792153333	8.76025013852363e-25	7.53689274778626e-24	45.3743770178834
MID1IP1	-1.10475302023287	5.49671859425712	-11.1700605334103	1.62149011253305e-23	1.28093982737778e-22	42.4759772746835
HOXB2	-1.10307910617664	2.88935216453939	-12.5291286646778	6.36631815811322e-28	6.8746210409736e-27	52.5567410357783
NXT1	-1.10301819174848	4.69762497885164	-10.0538259067042	5.20167578787005e-20	3.20178553657315e-19	34.4651784197425
PLEKHG3	-1.10137385467392	6.11179904381723	-11.4650503823574	1.83801358191901e-24	1.55212550877077e-23	44.6382662303752
NUDT9	-1.09888344377915	3.55660596026728	-12.7544273996869	1.15644870762067e-28	1.32383452222954e-27	54.2526887542641
NOV	-1.09602506369696	2.62004133017254	-17.5947002967459	8.92647009329027e-45	4.50064745806555e-43	91.179919011871
PSMG2	-1.09200687683372	7.41103996414292	-14.4538503753541	2.63167454542471e-34	4.82497121871049e-33	67.1790869862143
KLRC1 /// KLRC2	-1.09051287924526	3.10721871248984	-7.32233477518776	3.85884299119869e-12	1.36744632509816e-11	16.5542906353162
RPL29	-1.08527628624877	10.3948166862362	-13.3475639814069	1.26743343645816e-30	1.6941113204276e-29	58.741698256626
Septin 1	-1.0839218121559	2.68621233467568	-19.3913877082527	1.14349848403147e-50	1.17029389626922e-48	104.690080311617
POLR2B	-1.08290200961806	7.21634384809229	-12.1157150923702	1.43383754701834e-26	1.39458497303614e-25	49.4607276029036
