Mol_ID,Gene_symbol,Description
MOL000006,IL13,interleukin 13
MOL000006,GFAP,glial fibrillary acidic protein
MOL000006,IL6,interleukin 6
MOL000006,MIR21,microRNA 21
MOL000006,MAPK8,mitogen-activated protein kinase 8
MOL000006,MARVELD1,MARVEL domain containing 1
MOL000006,BECN1,beclin 1
MOL000006,MPO,myeloperoxidase
MOL000006,BACE1,beta-secretase 1
MOL000006,SNAP25,synaptosome associated protein 25
MOL000006,HSPA5,heat shock protein family A (Hsp70) member 5
MOL000006,PSMC4,"proteasome 26S subunit, ATPase 4"
MOL000006,LRP2,LDL receptor related protein 2
MOL000006,MKI67,marker of proliferation Ki-67
MOL000006,CXCL8,C-X-C motif chemokine ligand 8
MOL000006,STAT6,signal transducer and activator of transcription 6
MOL006824,AR,androgen receptor
MOL006824,CCNA2,cyclin A2
MOL006824,CDK2,cyclin dependent kinase 2
MOL006824,CHEK1,checkpoint kinase 1
MOL006824,MAPK14,mitogen-activated protein kinase 14
MOL006824,DPP4,dipeptidyl peptidase 4
MOL006824,ESR1,estrogen receptor 1
MOL006824,ESR2,estrogen receptor 2
MOL006824,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL006824,GSK3B,glycogen synthase kinase 3 beta
MOL006824,PGR,progesterone receptor
MOL006824,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL006824,PPARG,peroxisome proliferator activated receptor gamma
MOL006824,PRKCB,protein kinase C beta
MOL006824,MAPK1,mitogen-activated protein kinase 1
MOL006824,MAPK10,mitogen-activated protein kinase 10
MOL006824,PTGS2,prostaglandin-endoperoxide synthase 2
MOL006824,RELA,"RELA proto-oncogene, NF-kB subunit"
MOL005438,AR,androgen receptor
MOL005438,CA2,carbonic anhydrase 2
MOL005438,CCNA2,cyclin A2
MOL005438,CDK2,cyclin dependent kinase 2
MOL005438,MAPK14,mitogen-activated protein kinase 14
MOL005438,DPEP1,dipeptidase 1
MOL005438,ESR1,estrogen receptor 1
MOL005438,ESR2,estrogen receptor 2
MOL005438,GSK3B,glycogen synthase kinase 3 beta
MOL005438,NOS2,nitric oxide synthase 2
MOL005438,PGR,progesterone receptor
MOL005438,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL005438,PPARG,peroxisome proliferator activated receptor gamma
MOL005438,PTGS1,prostaglandin-endoperoxide synthase 1
MOL005438,PTGS2,prostaglandin-endoperoxide synthase 2
MOL005438,NCOA2,nuclear receptor coactivator 2
MOL007475,TOP1,DNA topoisomerase I
MOL007475,TOP2A,DNA topoisomerase II alpha
MOL000953,NOTCH2,notch receptor 2
MOL000953,PINK1,PTEN induced kinase 1
MOL000953,PPARGC1A,PPARG coactivator 1 alpha
MOL000953,ESRRA,estrogen related receptor alpha
MOL000953,DNMT1,DNA methyltransferase 1
MOL000953,ANO1,anoctamin 1
MOL000953,CASP3,caspase 3
MOL000953,ERBB2,erb-b2 receptor tyrosine kinase 2
MOL000953,TPD52,tumor protein D52
MOL000953,HIF1A,hypoxia inducible factor 1 subunit alpha
MOL000953,TRPM4,transient receptor potential cation channel subfamily M member 4
MOL000953,BAX,"BCL2 associated X, apoptosis regulator"
MOL000953,NFE2L2,"nuclear factor, erythroid 2 like 2"
MOL000449,AKR1B1,aldo-keto reductase family 1 member B
MOL000449,PTPN1,protein tyrosine phosphatase non-receptor type 1
MOL000358,AKR1B1,aldo-keto reductase family 1 member B
MOL000358,ALOX5,arachidonate 5-lipoxygenase
MOL000358,ALOX15B,arachidonate 15-lipoxygenase type B
MOL000358,ANPEP,"alanyl aminopeptidase, membrane"
MOL000358,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1
MOL000358,BDH1,3-hydroxybutyrate dehydrogenase 1
MOL000358,CBR1,carbonyl reductase 1
MOL000358,CBR3,carbonyl reductase 3
MOL000358,CES1,carboxylesterase 1
MOL000358,AKR1C4,aldo-keto reductase family 1 member C4
MOL000358,CTNNA1,catenin alpha 1
MOL000358,CTNNB1,catenin beta 1
MOL000358,CYP1A1,cytochrome P450 family 1 subfamily A member 1
MOL000358,CYP1A2,cytochrome P450 family 1 subfamily A member 2
MOL000358,CYP1B1,cytochrome P450 family 1 subfamily B member 1
MOL000358,CYP3A4,cytochrome P450 family 3 subfamily A member 4
MOL000358,AKR1C1,aldo-keto reductase family 1 member C1
MOL000358,AKR1C2,aldo-keto reductase family 1 member C2
MOL000358,DECR1,"2,4-dienoyl-CoA reductase 1"
MOL000358,GJA1,gap junction protein alpha 1
MOL000358,HPGD,15-hydroxyprostaglandin dehydrogenase
MOL000358,HRAS,"HRas proto-oncogene, GTPase"
MOL000358,HSD11B1,hydroxysteroid 11-beta dehydrogenase 1
MOL000358,HSD11B2,hydroxysteroid 11-beta dehydrogenase 2
MOL000358,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1
MOL000358,HSD17B2,hydroxysteroid 17-beta dehydrogenase 2
MOL000358,HSPB1,heat shock protein family B (small) member 1
MOL000358,HSP90AA1,heat shock protein 90 alpha family class A member 1
