Mol_ID,Gene_symbol,Description
MOL007145,DRD5,dopamine receptor D5
MOL007145,ESR1,estrogen receptor 1
MOL007145,ESR2,estrogen receptor 2
MOL007145,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007145,GABRE,gamma-aminobutyric acid type A receptor subunit epsilon
MOL007145,GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3
MOL007145,GSK3B,glycogen synthase kinase 3 beta
MOL007145,HTR3A,5-hydroxytryptamine receptor 3A
MOL007145,NOS2,nitric oxide synthase 2
MOL007145,OPRD1,opioid receptor delta 1
MOL007145,OPRM1,opioid receptor mu 1
MOL007145,PDE3A,phosphodiesterase 3A
MOL007145,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007145,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007145,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007145,SLC6A2,solute carrier family 6 member 2
MOL007145,SLC6A3,solute carrier family 6 member 3
MOL007145,SLC6A4,solute carrier family 6 member 4
MOL007152,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007152,AR,androgen receptor
MOL007152,CA2,carbonic anhydrase 2
MOL007152,CCNA2,cyclin A2
MOL007152,CDK2,cyclin dependent kinase 2
MOL007152,DPP4,dipeptidyl peptidase 4
MOL007152,ESR1,estrogen receptor 1
MOL007152,ESR2,estrogen receptor 2
MOL007152,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit
MOL007152,GSK3B,glycogen synthase kinase 3 beta
MOL007152,NOS2,nitric oxide synthase 2
MOL007152,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007152,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007152,RBBP7,"RB binding protein 7, chromatin remodeling factor"
MOL007152,NCOA1,nuclear receptor coactivator 1
MOL007152,SUZ12,SUZ12 polycomb repressive complex 2 subunit
MOL002651,ACHE,acetylcholinesterase (Cartwright blood group)
MOL002651,ADRA1D,adrenoceptor alpha 1D
MOL002651,ADRA1A,adrenoceptor alpha 1A
MOL002651,ADRB2,adrenoceptor beta 2
MOL002651,AR,androgen receptor
MOL002651,CCNA2,cyclin A2
MOL002651,CDK2,cyclin dependent kinase 2
MOL002651,CHEK1,checkpoint kinase 1
MOL002651,CHRM1,cholinergic receptor muscarinic 1
MOL002651,CHRM3,cholinergic receptor muscarinic 3
MOL002651,CHRM4,cholinergic receptor muscarinic 4
MOL002651,CHRM5,cholinergic receptor muscarinic 5
MOL002651,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL002651,MAPK14,mitogen-activated protein kinase 14
MOL002651,DPP4,dipeptidyl peptidase 4
MOL002651,DRD1,dopamine receptor D1
MOL002651,ESR1,estrogen receptor 1
MOL002651,ESR2,estrogen receptor 2
MOL002651,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL002651,GSK3B,glycogen synthase kinase 3 beta
MOL002651,IDO1,"indoleamine 2,3-dioxygenase 1"
MOL002651,NOS2,nitric oxide synthase 2
MOL002651,OPRD1,opioid receptor delta 1
MOL002651,OPRM1,opioid receptor mu 1
MOL002651,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL002651,PPARG,peroxisome proliferator activated receptor gamma
MOL002651,PTGS2,prostaglandin-endoperoxide synthase 2
MOL002651,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL002651,NCOA1,nuclear receptor coactivator 1
MOL007041,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007041,ADRA1D,adrenoceptor alpha 1D
MOL007041,ADRA1B,adrenoceptor alpha 1B
MOL007041,ADRA1A,adrenoceptor alpha 1A
MOL007041,ADRB2,adrenoceptor beta 2
MOL007041,AR,androgen receptor
MOL007041,CA2,carbonic anhydrase 2
MOL007041,CALM3,calmodulin 3
MOL007041,CCNA2,cyclin A2
MOL007041,CDK2,cyclin dependent kinase 2
MOL007041,CHEK1,checkpoint kinase 1
MOL007041,CHRM1,cholinergic receptor muscarinic 1
MOL007041,CHRM2,cholinergic receptor muscarinic 2
MOL007041,CHRM3,cholinergic receptor muscarinic 3
MOL007041,CHRM4,cholinergic receptor muscarinic 4
MOL007041,CHRM5,cholinergic receptor muscarinic 5
MOL007041,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007041,MAPK14,mitogen-activated protein kinase 14
MOL007041,DPP4,dipeptidyl peptidase 4
MOL007041,DRD1,dopamine receptor D1
MOL007041,ESR1,estrogen receptor 1
MOL007041,ESR2,estrogen receptor 2
MOL007041,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007041,GSK3B,glycogen synthase kinase 3 beta
MOL007041,HTR3A,5-hydroxytryptamine receptor 3A
MOL007041,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007041,NOS2,nitric oxide synthase 2
MOL007041,OPRM1,opioid receptor mu 1
MOL007041,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007041,PPARG,peroxisome proliferator activated receptor gamma
MOL007041,PRSS1,serine protease 1
MOL007041,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007041,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007041,RXRA,retinoid X receptor alpha
MOL007041,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007041,SLC6A3,solute carrier family 6 member 3
MOL007041,SLC6A4,solute carrier family 6 member 4
MOL007041,NCOA2,nuclear receptor coactivator 2
MOL007154,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007154,PARP4,poly(ADP-ribose) polymerase family member 4
MOL007154,ADRA1D,adrenoceptor alpha 1D
MOL007154,ADRB2,adrenoceptor beta 2
MOL007154,ALDH1A1,aldehyde dehydrogenase 1 family member A1
MOL007154,ALOX15B,arachidonate 15-lipoxygenase type B
MOL007154,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1
MOL007154,AR,androgen receptor
MOL007154,BCL2,BCL2 apoptosis regulator
MOL007154,BLM,BLM RecQ like helicase
MOL007154,CALCR,calcitonin receptor
MOL007154,CASP3,caspase 3
MOL007154,CASP7,caspase 7
MOL007154,CCNA2,cyclin A2
MOL007154,CDK2,cyclin dependent kinase 2
MOL007154,CDKN1A,cyclin dependent kinase inhibitor 1A
MOL007154,CHEK1,checkpoint kinase 1
MOL007154,CHRM1,cholinergic receptor muscarinic 1
MOL007154,CHRM2,cholinergic receptor muscarinic 2
MOL007154,CHRM3,cholinergic receptor muscarinic 3
MOL007154,CHRM4,cholinergic receptor muscarinic 4
MOL007154,CHRM5,cholinergic receptor muscarinic 5
MOL007154,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007154,MAPK14,mitogen-activated protein kinase 14
MOL007154,CYP1A1,cytochrome P450 family 1 subfamily A member 1
MOL007154,CYP1A2,cytochrome P450 family 1 subfamily A member 2
MOL007154,CYP3A4,cytochrome P450 family 3 subfamily A member 4
MOL007154,DPP4,dipeptidyl peptidase 4
MOL007154,DRD1,dopamine receptor D1
MOL007154,ECE1,endothelin converting enzyme 1
MOL007154,EDN1,endothelin 1
MOL007154,EDNRA,endothelin receptor type A
MOL007154,ESR1,estrogen receptor 1
MOL007154,ESR2,estrogen receptor 2
MOL007154,FASN,fatty acid synthase
MOL007154,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
MOL007154,KAT2A,lysine acetyltransferase 2A
MOL007154,GSK3B,glycogen synthase kinase 3 beta
MOL007154,HSD17B10,hydroxysteroid 17-beta dehydrogenase 10
MOL007154,HPGD,15-hydroxyprostaglandin dehydrogenase
MOL007154,ITGB3,integrin subunit beta 3
MOL007154,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
MOL007154,MAPT,microtubule associated protein tau
MOL007154,KMT2A,lysine methyltransferase 2A
MOL007154,MMP9,matrix metallopeptidase 9
MOL007154,MYC,"MYC proto-oncogene, bHLH transcription factor"
MOL007154,NFKBIA,NFKB inhibitor alpha
MOL007154,NOS2,nitric oxide synthase 2
MOL007154,NPM1,nucleophosmin 1
MOL007154,OPRD1,opioid receptor delta 1
MOL007154,OPRM1,opioid receptor mu 1
MOL007154,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007154,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007154,RECQL,RecQ like helicase
MOL007154,RELA,"RELA proto-oncogene, NF-kB subunit"
MOL007154,RXRA,retinoid X receptor alpha
MOL007154,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007154,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase"
MOL007154,TP53,tumor protein p53
MOL007154,USP1,ubiquitin specific peptidase 1
MOL007154,VDR,vitamin D receptor
MOL007154,NCOA1,nuclear receptor coactivator 1
MOL007154,NR1I2,nuclear receptor subfamily 1 group I member 2
MOL007154,AHSA1,activator of HSP90 ATPase activity 1
MOL007154,EHMT2,euchromatic histone lysine methyltransferase 2
MOL007154,POLK,DNA polymerase kappa
MOL007154,TDP1,tyrosyl-DNA phosphodiesterase 1
MOL007154,KDM4E,lysine demethylase 4E
MOL007150,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007150,AR,androgen receptor
MOL007150,CA2,carbonic anhydrase 2
MOL007150,CCNA2,cyclin A2
MOL007150,CDK2,cyclin dependent kinase 2
MOL007150,DPP4,dipeptidyl peptidase 4
MOL007150,ESR1,estrogen receptor 1
MOL007150,ESR2,estrogen receptor 2
MOL007150,GSK3B,glycogen synthase kinase 3 beta
MOL007150,NOS2,nitric oxide synthase 2
MOL007150,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007150,PRSS1,serine protease 1
MOL007150,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007150,NCOA1,nuclear receptor coactivator 1
MOL007151,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007151,AR,androgen receptor
MOL007151,CA2,carbonic anhydrase 2
MOL007151,CCNA2,cyclin A2
MOL007151,CDK2,cyclin dependent kinase 2
MOL007151,CHEK1,checkpoint kinase 1
MOL007151,DPP4,dipeptidyl peptidase 4
MOL007151,ESR1,estrogen receptor 1
MOL007151,ESR2,estrogen receptor 2
MOL007151,GSK3B,glycogen synthase kinase 3 beta
MOL007151,NOS2,nitric oxide synthase 2
MOL007151,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007151,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007151,NCOA1,nuclear receptor coactivator 1
MOL007151,SUZ12,SUZ12 polycomb repressive complex 2 subunit
MOL007111,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007111,ADRA1D,adrenoceptor alpha 1D
MOL007111,ADRA1A,adrenoceptor alpha 1A
MOL007111,ADRB2,adrenoceptor beta 2
MOL007111,AR,androgen receptor
MOL007111,CCNA2,cyclin A2
MOL007111,CDK2,cyclin dependent kinase 2
MOL007111,CHEK1,checkpoint kinase 1
MOL007111,CHRM1,cholinergic receptor muscarinic 1
MOL007111,CHRM2,cholinergic receptor muscarinic 2
MOL007111,CHRM3,cholinergic receptor muscarinic 3
MOL007111,CHRM5,cholinergic receptor muscarinic 5
MOL007111,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007111,DPP4,dipeptidyl peptidase 4
MOL007111,DRD1,dopamine receptor D1
MOL007111,ESR1,estrogen receptor 1
MOL007111,ESR2,estrogen receptor 2
MOL007111,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007111,GSK3B,glycogen synthase kinase 3 beta
MOL007111,NOS2,nitric oxide synthase 2
MOL007111,OPRD1,opioid receptor delta 1
MOL007111,OPRM1,opioid receptor mu 1
MOL007111,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007111,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007111,RXRA,retinoid X receptor alpha
MOL007111,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007077,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007077,AR,androgen receptor
MOL007077,DPP4,dipeptidyl peptidase 4
MOL007077,ESR1,estrogen receptor 1
MOL007077,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007049,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007049,ADRA1D,adrenoceptor alpha 1D
MOL007049,ADRA1B,adrenoceptor alpha 1B
MOL007049,ADRA1A,adrenoceptor alpha 1A
MOL007049,ADRA2A,adrenoceptor alpha 2A
MOL007049,ADRA2C,adrenoceptor alpha 2C
MOL007049,ADRB2,adrenoceptor beta 2
MOL007049,AR,androgen receptor
MOL007049,CA2,carbonic anhydrase 2
MOL007049,CCNA2,cyclin A2
MOL007049,CDK2,cyclin dependent kinase 2
MOL007049,CHEK1,checkpoint kinase 1
MOL007049,CHRM1,cholinergic receptor muscarinic 1
MOL007049,CHRM2,cholinergic receptor muscarinic 2
MOL007049,CHRM3,cholinergic receptor muscarinic 3
MOL007049,CHRM4,cholinergic receptor muscarinic 4
MOL007049,CHRM5,cholinergic receptor muscarinic 5
MOL007049,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007049,MAPK14,mitogen-activated protein kinase 14
MOL007049,DPP4,dipeptidyl peptidase 4
MOL007049,DRD1,dopamine receptor D1
MOL007049,DRD2,dopamine receptor D2
MOL007049,ESR1,estrogen receptor 1
MOL007049,ESR2,estrogen receptor 2
MOL007049,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007049,GSK3B,glycogen synthase kinase 3 beta
MOL007049,NOS2,nitric oxide synthase 2
MOL007049,OPRD1,opioid receptor delta 1
MOL007049,OPRM1,opioid receptor mu 1
MOL007049,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007049,PPARG,peroxisome proliferator activated receptor gamma
MOL007049,PRSS1,serine protease 1
MOL007049,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007049,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007049,RXRA,retinoid X receptor alpha
MOL007049,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007049,SLC6A3,solute carrier family 6 member 3
MOL007049,SLC6A4,solute carrier family 6 member 4
MOL007049,NCOA1,nuclear receptor coactivator 1
MOL007049,NCOA2,nuclear receptor coactivator 2
MOL007124,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007124,ADRA1D,adrenoceptor alpha 1D
MOL007124,ADRA1B,adrenoceptor alpha 1B
MOL007124,ADRA1A,adrenoceptor alpha 1A
MOL007124,ADRB2,adrenoceptor beta 2
MOL007124,AR,androgen receptor
MOL007124,CA2,carbonic anhydrase 2
MOL007124,CCNA2,cyclin A2
MOL007124,CDK2,cyclin dependent kinase 2
MOL007124,CHRM1,cholinergic receptor muscarinic 1
MOL007124,CHRM2,cholinergic receptor muscarinic 2
MOL007124,CHRM3,cholinergic receptor muscarinic 3
MOL007124,CHRM4,cholinergic receptor muscarinic 4
MOL007124,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007124,DPP4,dipeptidyl peptidase 4
MOL007124,DRD1,dopamine receptor D1
MOL007124,ESR1,estrogen receptor 1
MOL007124,ESR2,estrogen receptor 2
MOL007124,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007124,GSK3B,glycogen synthase kinase 3 beta
MOL007124,NOS2,nitric oxide synthase 2
MOL007124,OPRD1,opioid receptor delta 1
MOL007124,OPRM1,opioid receptor mu 1
MOL007124,PDE3A,phosphodiesterase 3A
MOL007124,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007124,PRSS1,serine protease 1
MOL007124,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007124,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007124,RXRA,retinoid X receptor alpha
MOL007124,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007124,SLC6A3,solute carrier family 6 member 3
MOL007124,SLC6A4,solute carrier family 6 member 4
MOL007107,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007107,ADRA1D,adrenoceptor alpha 1D
MOL007107,ADRA1B,adrenoceptor alpha 1B
MOL007107,ADRA1A,adrenoceptor alpha 1A
MOL007107,ADRB2,adrenoceptor beta 2
MOL007107,AR,androgen receptor
MOL007107,CA2,carbonic anhydrase 2
MOL007107,CD1A,CD1a molecule
MOL007107,CHRM1,cholinergic receptor muscarinic 1
MOL007107,CHRM2,cholinergic receptor muscarinic 2
MOL007107,CHRM3,cholinergic receptor muscarinic 3
MOL007107,DPP4,dipeptidyl peptidase 4
MOL007107,ESR1,estrogen receptor 1
MOL007107,ESR2,estrogen receptor 2
MOL007107,OPRM1,opioid receptor mu 1
MOL007107,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007107,CD83,CD83 molecule
MOL002222,ACHE,acetylcholinesterase (Cartwright blood group)
MOL002222,ADRA1D,adrenoceptor alpha 1D
MOL002222,ADRA1B,adrenoceptor alpha 1B
MOL002222,ADRA1A,adrenoceptor alpha 1A
MOL002222,ADRB2,adrenoceptor beta 2
MOL002222,AR,androgen receptor
MOL002222,CA2,carbonic anhydrase 2
MOL002222,CHRM1,cholinergic receptor muscarinic 1
MOL002222,CHRM2,cholinergic receptor muscarinic 2
MOL002222,CHRM3,cholinergic receptor muscarinic 3
MOL002222,CHRM4,cholinergic receptor muscarinic 4
MOL002222,CHRM5,cholinergic receptor muscarinic 5
MOL002222,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL002222,DPP4,dipeptidyl peptidase 4
MOL002222,DRD2,dopamine receptor D2
MOL002222,ESR1,estrogen receptor 1
MOL002222,ESR2,estrogen receptor 2
MOL002222,NOS2,nitric oxide synthase 2
MOL002222,OPRD1,opioid receptor delta 1
MOL002222,OPRM1,opioid receptor mu 1
MOL002222,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL002222,PTGS2,prostaglandin-endoperoxide synthase 2
MOL002222,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007098,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007098,ADRA1D,adrenoceptor alpha 1D
MOL007098,ADRA1B,adrenoceptor alpha 1B
MOL007098,ADRA1A,adrenoceptor alpha 1A
MOL007098,ADRB2,adrenoceptor beta 2
MOL007098,AR,androgen receptor
MOL007098,CA2,carbonic anhydrase 2
MOL007098,CDK2,cyclin dependent kinase 2
MOL007098,CHEK1,checkpoint kinase 1
MOL007098,CHRM1,cholinergic receptor muscarinic 1
MOL007098,CHRM2,cholinergic receptor muscarinic 2
MOL007098,CHRM3,cholinergic receptor muscarinic 3
MOL007098,CHRM4,cholinergic receptor muscarinic 4
MOL007098,CHRM5,cholinergic receptor muscarinic 5
MOL007098,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007098,DPP4,dipeptidyl peptidase 4
MOL007098,DRD1,dopamine receptor D1
MOL007098,ESR1,estrogen receptor 1
MOL007098,ESR2,estrogen receptor 2
MOL007098,GSK3B,glycogen synthase kinase 3 beta
MOL007098,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007098,NOS2,nitric oxide synthase 2
MOL007098,OPRD1,opioid receptor delta 1
MOL007098,OPRM1,opioid receptor mu 1
MOL007098,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007098,PRSS1,serine protease 1
MOL007098,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007098,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007098,RXRA,retinoid X receptor alpha
MOL007098,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007098,NCOA1,nuclear receptor coactivator 1
MOL007098,NCOA2,nuclear receptor coactivator 2
MOL007105,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007105,ADRA1D,adrenoceptor alpha 1D
MOL007105,ADRA1B,adrenoceptor alpha 1B
MOL007105,ADRA1A,adrenoceptor alpha 1A
MOL007105,ADRB2,adrenoceptor beta 2
MOL007105,AR,androgen receptor
MOL007105,CA2,carbonic anhydrase 2
MOL007105,CDK2,cyclin dependent kinase 2
MOL007105,CHRM1,cholinergic receptor muscarinic 1
MOL007105,CHRM2,cholinergic receptor muscarinic 2
MOL007105,CHRM3,cholinergic receptor muscarinic 3
MOL007105,CHRM4,cholinergic receptor muscarinic 4
MOL007105,CHRM5,cholinergic receptor muscarinic 5
MOL007105,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007105,MAPK14,mitogen-activated protein kinase 14
MOL007105,DPP4,dipeptidyl peptidase 4
MOL007105,DRD1,dopamine receptor D1
MOL007105,ESR1,estrogen receptor 1
MOL007105,ESR2,estrogen receptor 2
MOL007105,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007105,GSK3B,glycogen synthase kinase 3 beta
MOL007105,NOS2,nitric oxide synthase 2
MOL007105,OPRD1,opioid receptor delta 1
MOL007105,OPRM1,opioid receptor mu 1
MOL007105,PDE3A,phosphodiesterase 3A
MOL007105,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007105,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007105,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007105,RXRA,retinoid X receptor alpha
MOL007105,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007105,SLC6A4,solute carrier family 6 member 4
MOL007130,AR,androgen receptor
MOL007130,CA2,carbonic anhydrase 2
MOL007130,CALM3,calmodulin 3
MOL007130,CCNA2,cyclin A2
MOL007130,CDK2,cyclin dependent kinase 2
MOL007130,CHEK1,checkpoint kinase 1
MOL007130,MAPK14,mitogen-activated protein kinase 14
MOL007130,DPP4,dipeptidyl peptidase 4
MOL007130,ESR1,estrogen receptor 1
MOL007130,ESR2,estrogen receptor 2
MOL007130,GSK3B,glycogen synthase kinase 3 beta
MOL007130,NOS2,nitric oxide synthase 2
MOL007130,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007130,PPARG,peroxisome proliferator activated receptor gamma
MOL007130,PRSS1,serine protease 1
MOL007130,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007130,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007119,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007119,ADRA1D,adrenoceptor alpha 1D
MOL007119,ADRA1B,adrenoceptor alpha 1B
MOL007119,ADRA1A,adrenoceptor alpha 1A
MOL007119,ADRB2,adrenoceptor beta 2
MOL007119,AR,androgen receptor
MOL007119,CA2,carbonic anhydrase 2
MOL007119,CCNA2,cyclin A2
MOL007119,CDK2,cyclin dependent kinase 2
MOL007119,CHRM1,cholinergic receptor muscarinic 1
MOL007119,CHRM2,cholinergic receptor muscarinic 2
MOL007119,CHRM3,cholinergic receptor muscarinic 3
MOL007119,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007119,DPEP1,dipeptidase 1
MOL007119,DPP4,dipeptidyl peptidase 4
MOL007119,ESR1,estrogen receptor 1
MOL007119,ESR2,estrogen receptor 2
MOL007119,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL007119,GSK3B,glycogen synthase kinase 3 beta
MOL007119,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007119,NOS2,nitric oxide synthase 2
MOL007119,OPRD1,opioid receptor delta 1
MOL007119,OPRM1,opioid receptor mu 1
MOL007119,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007119,PRSS1,serine protease 1
MOL007119,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007119,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007119,RXRA,retinoid X receptor alpha
MOL007119,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007119,NCOA1,nuclear receptor coactivator 1
MOL007119,NCOA2,nuclear receptor coactivator 2
MOL007100,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007100,ADRA1D,adrenoceptor alpha 1D
MOL007100,ADRA1B,adrenoceptor alpha 1B
MOL007100,ADRA1A,adrenoceptor alpha 1A
MOL007100,ADRB2,adrenoceptor beta 2
MOL007100,AR,androgen receptor
MOL007100,CA2,carbonic anhydrase 2
MOL007100,CCNA2,cyclin A2
MOL007100,CDK2,cyclin dependent kinase 2
MOL007100,CHEK1,checkpoint kinase 1
MOL007100,CHRM1,cholinergic receptor muscarinic 1
MOL007100,CHRM3,cholinergic receptor muscarinic 3
MOL007100,CHRM5,cholinergic receptor muscarinic 5
MOL007100,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007100,MAPK14,mitogen-activated protein kinase 14
MOL007100,DPP4,dipeptidyl peptidase 4
MOL007100,DRD1,dopamine receptor D1
MOL007100,ESR1,estrogen receptor 1
MOL007100,ESR2,estrogen receptor 2
MOL007100,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007100,GSK3B,glycogen synthase kinase 3 beta
MOL007100,HTR3A,5-hydroxytryptamine receptor 3A
MOL007100,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007100,NOS2,nitric oxide synthase 2
MOL007100,OPRM1,opioid receptor mu 1
MOL007100,PDE3A,phosphodiesterase 3A
MOL007100,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007100,PPARG,peroxisome proliferator activated receptor gamma
MOL007100,PRSS1,serine protease 1
MOL007100,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007100,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007100,RXRA,retinoid X receptor alpha
MOL007100,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007100,SLC6A3,solute carrier family 6 member 3
MOL007100,SLC6A4,solute carrier family 6 member 4
MOL007132,AR,androgen receptor
MOL007132,CA2,carbonic anhydrase 2
MOL007132,CCNA2,cyclin A2
MOL007132,CDK2,cyclin dependent kinase 2
MOL007132,MAPK14,mitogen-activated protein kinase 14
MOL007132,DPP4,dipeptidyl peptidase 4
MOL007132,ESR1,estrogen receptor 1
MOL007132,GSK3B,glycogen synthase kinase 3 beta
MOL007132,PPARG,peroxisome proliferator activated receptor gamma
MOL007132,PRSS1,serine protease 1
MOL007132,PTGS2,prostaglandin-endoperoxide synthase 2
MOL001601,ACHE,acetylcholinesterase (Cartwright blood group)
MOL001601,ADRA1D,adrenoceptor alpha 1D
MOL001601,ADRA1B,adrenoceptor alpha 1B
MOL001601,ADRA1A,adrenoceptor alpha 1A
MOL001601,ADRB2,adrenoceptor beta 2
MOL001601,AR,androgen receptor
MOL001601,CA2,carbonic anhydrase 2
MOL001601,CCNA2,cyclin A2
MOL001601,CDK2,cyclin dependent kinase 2
MOL001601,CHEK1,checkpoint kinase 1
MOL001601,CHRM1,cholinergic receptor muscarinic 1
MOL001601,CHRM2,cholinergic receptor muscarinic 2
MOL001601,CHRM3,cholinergic receptor muscarinic 3
MOL001601,CHRM4,cholinergic receptor muscarinic 4
MOL001601,CHRM5,cholinergic receptor muscarinic 5
MOL001601,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL001601,MAPK14,mitogen-activated protein kinase 14
MOL001601,DPP4,dipeptidyl peptidase 4
MOL001601,DRD1,dopamine receptor D1
MOL001601,ESR1,estrogen receptor 1
MOL001601,ESR2,estrogen receptor 2
MOL001601,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL001601,GSK3B,glycogen synthase kinase 3 beta
MOL001601,HTR3A,5-hydroxytryptamine receptor 3A
MOL001601,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL001601,NOS2,nitric oxide synthase 2
MOL001601,OPRD1,opioid receptor delta 1
MOL001601,OPRM1,opioid receptor mu 1
MOL001601,PDE3A,phosphodiesterase 3A
MOL001601,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL001601,PPARG,peroxisome proliferator activated receptor gamma
MOL001601,PRSS1,serine protease 1
MOL001601,PTGS1,prostaglandin-endoperoxide synthase 1
MOL001601,PTGS2,prostaglandin-endoperoxide synthase 2
