Mol_ID,Gene_symbol
MOL000422,APOE
MOL000422,APP
MOL000422,AR
MOL000422,AR.L
MOL000422,STAT1
MOL000422,CASP9
MOL000422,SLC2A1
MOL000422,PTGES
MOL000422,CDKN1A
MOL000422,CDKN2C
MOL000422,CFTR
MOL000422,RELA
MOL000422,RIPK1
MOL000422,BMP2
MOL000422,BMP4
MOL000422,CALCR
MOL000422,CASP1
MOL000422,CASP3
MOL000422,SLC16A1
MOL000422,CDK1
MOL000422,CDK4
MOL000422,LAMB2
MOL000422,LEP
MOL000422,MAP3K7
MOL000422,CHEK1
MOL000422,CHEK2
MOL000422,UCP3
MOL000422,RUNX2
MOL000422,S1PR1
MOL000422,SELE
MOL000422,SFN
MOL000422,CDH5
MOL000422,CCKAR
MOL000422,KMT2A
MOL000422,MAPK14
MOL000422,CAT
MOL000422,SOX2
MOL000422,MAPK1
MOL000422,SPHK1
MOL000422,CHUK
MOL000422,CRP
MOL000422,SOX9
MOL000422,CDK2
MOL000422,SPP1
MOL000422,UCP1
MOL000422,CCNB1
MOL000422,CCL2
MOL000422,CCL5
MOL000422,CD44
MOL000422,COL10A1
MOL000422,UGT1A1
MOL000422,UGT1A10
MOL000422,COL2A1
MOL000422,CCN5
MOL000422,MAPK3
MOL000422,SOD2
MOL000422,CCNA2
MOL000422,CPT1A
MOL000422,CD14
MOL000422,CLDN2
MOL000422,CCND1
MOL001921,EDN1
MOL001921,ITGA6
MOL000497,BAD
MOL000497,BAK1
MOL000497,BBC3
MOL000497,BAX
MOL000497,MAPK9
MOL000497,XDH
MOL000497,AHR
MOL000497,CASP8
MOL000497,PES1
MOL000497,PLAU
MOL000497,BCL2
MOL000497,PARP1
MOL000497,MAPK1
MOL000497,MAPK3
MOL000497,NQO1
MOL000497,MAPK8
MOL000497,DYRK1A
MOL000497,EIF2AK3
MOL000497,CASP9
MOL000497,NOS2
MOL000497,PRKCE
MOL000497,TNF
MOL000497,ERN1
MOL000497,FAS
MOL000497,AKT1
MOL000497,DDIT3
MOL000497,TNFRSF10B
MOL000497,CYP2E1
MOL000497,YAP1
MOL000497,HSPA5
MOL000497,CCN2
MOL000497,CCNB1
MOL000497,CCND1
MOL000497,CASP3
MOL000497,CYP2C9
MOL000497,CYP2D6
MOL000497,UGT2B7
MOL000497,CYP3A4
MOL000497,CCN1
MOL000497,TNFRSF25
MOL000497,UGT1A1
MOL000497,UGT1A10
MOL000497,CDK1
MOL000497,RPS6KB1
MOL000497,BIRC5
MOL000497,CASP10
MOL000497,STK4
MOL000497,MAP2K4
MOL000497,UGT2B4
MOL000497,IFNG
MOL000497,WEE1
MOL000497,WWTR1
MOL000497,UGT1A4
MOL000497,CYP2C19
MOL000497,SLCO1B1
MOL000497,UGT1A3
MOL000497,UGT2B17
