Mol_ID,Gene_symbol
MOL001942,PIK3CB
MOL001942,PIK3CG
MOL001942,PIK3CA
MOL001942,PDE7A
MOL001942,MTNR1A
MOL001942,CA6
MOL001942,PTGES
MOL001942,METAP2
MOL001942,HSD11B1
MOL001942,PDE10A
MOL001942,LIMK1
MOL001942,CCR9
MOL001942,PARP1
MOL001942,P2RX7
MOL001942,PARP2
MOL001942,DNMT3A
MOL001942,CDK1
MOL001942,HMGCR
MOL001942,MTOR
MOL001942,HPGDS
MOL001942,CA1
MOL001942,ADORA2B
MOL001942,CA4
MOL001942,AKR1C1
MOL001942,ATM
MOL001942,PDE8B
MOL001942,AKR1C3
MOL001942,BRD4
MOL001942,FLT3
MOL001942,JAK2
MOL002776,AKR1B1
MOL002776,ADORA1
MOL002776,TNF
MOL002776,IL2
MOL002776,XDH
MOL002776,RPS6KA3
MOL002776,EGFR
MOL002776,ACHE
MOL002776,NQO2
MOL002776,NMUR2
MOL002776,ADRA2A
MOL002776,ADRA2C
MOL002776,NOX4
MOL002776,ALDH2
MOL000006,NOX4
MOL000006,AKR1B1
MOL000006,CDK5R1
MOL000006,XDH
MOL000006,MAOA
MOL000006,FLT3
MOL000006,CA2
MOL000006,CCNB3
MOL000006,ALOX5
MOL000006,ADORA1
MOL000006,CA7
MOL000006,GLO1
MOL000006,APP
MOL000006,SYK
MOL000006,GSK3B
MOL000006,PARP1
MOL000006,TTR
MOL000006,MMP9
MOL000006,CA12
MOL000006,MMP2
MOL000006,CA4
MOL000006,MMP12
MOL000006,CD38
MOL000006,CYP1B1
MOL000006,ABCG2
MOL000006,AKR1B10
MOL000006,TNKS2
MOL000006,TNKS
MOL000006,TOP1
MOL000006,ARG1
MOL000006,PTPRS
MOL000006,ABCC1
MOL000006,HSD17B1
MOL000006,ACHE
MOL000006,CDK6
MOL000006,ABCB1
MOL000006,HSD17B2
MOL000006,CYP19A1
MOL000006,ESR2
MOL000006,ADORA2A
MOL000006,CSNK2A1
MOL000006,ALOX15
MOL000006,ALOX12
MOL000006,ESR1
MOL000006,PTGS2
MOL000006,CFTR
MOL000006,AMY1A
MOL000006,GRK6
MOL000006,CA1
MOL000006,CA9
MOL000006,CDK2
MOL000006,TERT
MOL000006,CDK1
MOL000006,TYR
MOL000006,AHR
MOL000006,ESRRA
MOL000006,GPR35
MOL000006,AVPR2
MOL000006,IGF1R
MOL000006,EGFR
MOL000006,F2
MOL000006,PIM1
MOL000006,AURKB
MOL000006,DRD4
MOL000006,MPO
MOL000006,PIK3R1
MOL000006,DAPK1
MOL000006,PYGL
MOL000006,SRC
MOL000006,PTK2
MOL000006,KDR
MOL000006,MMP13
MOL000006,MMP3
MOL000006,CA3
MOL000006,PLK1
MOL000006,CA6
MOL000006,PKN1
MOL000006,CA14
MOL000006,MET
MOL000006,NEK2
MOL000006,CXCR1
MOL000006,CAMK2B
MOL000006,ALK
MOL000006,AKT1
MOL000006,NEK6
MOL000006,PLA2G1B
MOL000006,CA5A
MOL000006,BACE1
MOL000006,AXL
MOL000006,NUAK1
MOL000006,AKR1C2
MOL000006,AKR1C1
MOL000006,AKR1C3
MOL000006,AKR1C4
MOL000006,CA13
MOL000006,AKR1A1
MOL000006,PFKFB3
MOL000006,PLG
MOL000006,KDM4E
MOL000006,AR
MOL001659,NPC1L1
MOL001659,NR1H3
MOL001659,RORC
MOL001659,SHBG
MOL001659,HMGCR
MOL001659,SREBF2
MOL001659,CYP19A1
MOL001659,AR
MOL001659,CYP17A1
MOL001659,RORA
MOL001659,ESR1
MOL001659,ESR2
MOL001659,CYP51A1
MOL001659,CHRM2
MOL001659,SLC6A2
MOL001659,CYP2C19
MOL001659,PTPN1
MOL001659,BCHE
MOL001659,SERPINA6
MOL001659,G6PD
