"Mol_ID","Gene_symbol","Data_base"
"MOL000422","PIK3CG","CTD"
"MOL000422","DHRS4","CTD"
"MOL000422","FOS","CTD"
"MOL000422","MMP9","CTD"
"MOL000422","MOD2","CTD"
"MOL000422","MT2A","CTD"
"MOL000422","MUC5AC","CTD"
"MOL000422","ADIPOQ","CTD"
"MOL000422","AFP","CTD"
"MOL000422","AHR","CTD"
"MOL000422","AIP","CTD"
"MOL000422","AKT1","CTD"
"MOL000422","BCL2L1","CTD"
"MOL000422","ALOX5","CTD"
"MOL000422","PLCG1","CTD"
"MOL000422","NOX4","CTD"
"MOL000422","CS","CTD"
"MOL000422","CSF2","CTD"
"MOL000422","CTNNB1","CTD"
"MOL000422","ICAM1","CTD"
"MOL000422","IFNG","CTD"
"MOL000422","IL10","CTD"
"MOL000422","IL1B","CTD"
"MOL000422","IL32","CTD"
"MOL000422","IL33","CTD"
"MOL000422","ALOX12","CTD"
"MOL000422","IL5","CTD"
"MOL000422","TK1","CTD"
"MOL000422","TNF","CTD"
"MOL000422","TNFAIP3","CTD"
"MOL000422","TNFRSF11A","CTD"
"MOL000422","TNFSF11","CTD"
"MOL000422","TP53","CTD"
"MOL000422","ESR1","CTD"
"MOL000422","ESR1.L","CTD"
"MOL000422","ESR2","CTD"
"MOL000422","ESR2A","CTD"
"MOL000422","ESR2B","CTD"
"MOL000422","IL4","CTD"
"MOL000422","ESR2.L","CTD"
"MOL000422","FBP1","CTD"
"MOL000422","FGF2","CTD"
"MOL000422","FN1","CTD"
"MOL000422","UGT1A3","CTD"
"MOL000422","UGT1A7","CTD"
"MOL000422","UGT1A8","CTD"
"MOL000422","UGT1A9","CTD"
"MOL000422","UGT2B7","CTD"
"MOL000422","UTRN","CTD"
"MOL000422","VCAM1","CTD"
"MOL000422","VDR","CTD"
"MOL000422","VEGFA","CTD"
"MOL000422","XDH","CTD"
"MOL000422","HBB","CTD"
"MOL000422","NOS3","CTD"
"MOL000422","HGF","CTD"
"MOL000422","HIF1A","CTD"
"MOL000422","HMOX1","CTD"
"MOL000422","HSPB1","CTD"
"MOL000422","ARNT","CTD"
"MOL000422","ATM","CTD"
"MOL000422","TP63","CTD"
"MOL000422","TP73","CTD"
"MOL000422","BAX","CTD"
"MOL000422","TSLP","CTD"
"MOL000422","TUBB3","CTD"
"MOL000422","MAPK8","CTD"
"MOL000422","IL6","CTD"
"MOL000422","INS1","CTD"
"MOL000422","IRAK1","CTD"
"MOL000422","ITGAM","CTD"
"MOL000422","JUN","CTD"
"MOL000422","KDR","CTD"
"MOL000422","TP53I3","CTD"
"MOL000422","ACTA2","CTD"
"MOL000422","SLC2A4","CTD"
"MOL000422","TRAF6","CTD"
"MOL000422","SLCO1B1","CTD"
"MOL000422","SLCO1B3","CTD"
"MOL000422","SLCO2B1","CTD"
"MOL000422","MAPK9","CTD"
"MOL000422","RPA3","CTD"
"MOL000422","MET","CTD"
"MOL000422","MMP2","CTD"
"MOL000422","ABCB1","CTD"
"MOL000422","ABCC1","CTD"
"MOL000422","ACHE","CTD"
"MOL000422","STAT2","CTD"
"MOL000422","PSCA","CTD"
"MOL000422","SLC5A8","CTD"
"MOL000422","PTGS2","CTD"
"MOL000422","PYCARD","CTD"
"MOL000422","RBP4","CTD"
"MOL000422","SOD1","CTD"
"MOL000422","HCAR2","CTD"
"MOL000422","APOE","CTD"
"MOL000422","APP","CTD"
"MOL000422","AR","CTD"
"MOL000422","AR.L","CTD"
"MOL000422","STAT1","CTD"
"MOL000422","CASP9","CTD"
"MOL000422","SLC2A1","CTD"
"MOL000422","PTGES","CTD"
"MOL000422","CDKN1A","CTD"
"MOL000422","CDKN2C","CTD"
"MOL000422","CFTR","CTD"
"MOL000422","RELA","CTD"
"MOL000422","RIPK1","CTD"
"MOL000422","BMP2","CTD"
"MOL000422","BMP4","CTD"
"MOL000422","CALCR","CTD"
"MOL000422","CASP1","CTD"
"MOL000422","CASP3","CTD"
"MOL000422","SLC16A1","CTD"
"MOL000422","CDK1","CTD"
"MOL000422","CDK4","CTD"
"MOL000422","LAMB2","CTD"
"MOL000422","LEP","CTD"
"MOL000422","MAP3K7","CTD"
"MOL000422","CHEK1","CTD"
"MOL000422","CHEK2","CTD"
"MOL000422","UCP3","CTD"
"MOL000422","RUNX2","CTD"
"MOL000422","S1PR1","CTD"
"MOL000422","SELE","CTD"
"MOL000422","SFN","CTD"
"MOL000422","CDH5","CTD"
"MOL000422","CCKAR","CTD"
"MOL000422","KMT2A","CTD"
"MOL000422","MAPK14","CTD"
"MOL000422","CAT","CTD"
"MOL000422","SOX2","CTD"
"MOL000422","MAPK1","CTD"
"MOL000422","SPHK1","CTD"
"MOL000422","CHUK","CTD"
"MOL000422","CRP","CTD"
"MOL000422","SOX9","CTD"
"MOL000422","CDK2","CTD"
"MOL000422","SPP1","CTD"
"MOL000422","UCP1","CTD"
"MOL000422","CCNB1","CTD"
"MOL000422","CCL2","CTD"
"MOL000422","CCL5","CTD"
"MOL000422","CD44","CTD"
"MOL000422","COL10A1","CTD"
"MOL000422","UGT1A1","CTD"
"MOL000422","UGT1A10","CTD"
"MOL000422","COL2A1","CTD"
"MOL000422","CCN5","CTD"
"MOL000422","MAPK3","CTD"
"MOL000422","SOD2","CTD"
"MOL000422","CCNA2","CTD"
"MOL000422","CPT1A","CTD"
"MOL000422","CD14","CTD"
"MOL000422","CLDN2","CTD"
"MOL000422","CCND1","CTD"
"MOL001921","EDN1","CTD"
"MOL001921","ITGA6","CTD"
"MOL000497","BAD","CTD"
"MOL000497","BAK1","CTD"
"MOL000497","BBC3","CTD"
"MOL000497","BAX","CTD"
"MOL000497","MAPK9","CTD"
"MOL000497","XDH","CTD"
"MOL000497","AHR","CTD"
"MOL000497","CASP8","CTD"
"MOL000497","PES1","CTD"
"MOL000497","PLAU","CTD"
"MOL000497","BCL2","CTD"
"MOL000497","PARP1","CTD"
"MOL000497","MAPK1","CTD"
"MOL000497","MAPK3","CTD"
"MOL000497","NQO1","CTD"
"MOL000497","MAPK8","CTD"
"MOL000497","DYRK1A","CTD"
"MOL000497","EIF2AK3","CTD"
"MOL000497","CASP9","CTD"
"MOL000497","NOS2","CTD"
"MOL000497","PRKCE","CTD"
"MOL000497","TNF","CTD"
"MOL000497","ERN1","CTD"
"MOL000497","FAS","CTD"
"MOL000497","AKT1","CTD"
"MOL000497","DDIT3","CTD"
"MOL000497","TNFRSF10B","CTD"
"MOL000497","CYP2E1","CTD"
"MOL000497","YAP1","CTD"
"MOL000497","HSPA5","CTD"
"MOL000497","CCN2","CTD"
"MOL000497","CCNB1","CTD"
